Time,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC,Big W - Fish Tank 15 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0878,0.4468,0.2999,0.4046,0.7684,0.5865,0.1844,0.289,0.2367,0.2837,0.5044,0.3941
0.1,-0.0719,0.4653,0.2972,0.4565,0.7957,0.6261,0.1951,0.305,0.25,0.289,0.5059,0.3974
0.2,-0.0518,0.4815,0.2982,0.5129,0.8204,0.6666,0.2126,0.3267,0.2696,0.3016,0.5124,0.407
0.3,-0.0271,0.4953,0.3027,0.5696,0.8414,0.7055,0.2362,0.3533,0.2947,0.3218,0.5239,0.4228
0.4,0.0012,0.5072,0.3104,0.623,0.8583,0.7407,0.2649,0.3837,0.3243,0.3491,0.5398,0.4445
0.5,0.0317,0.5177,0.3211,0.6708,0.8712,0.771,0.2978,0.4163,0.3571,0.3828,0.5592,0.471
0.6,0.0627,0.5269,0.3344,0.7119,0.8804,0.7962,0.3341,0.45,0.3921,0.4218,0.581,0.5014
0.7,0.0945,0.5351,0.3495,0.7461,0.8865,0.8163,0.3727,0.4827,0.4277,0.4648,0.6042,0.5345
0.8,0.128,0.5419,0.3652,0.7735,0.8899,0.8317,0.4124,0.5128,0.4626,0.5101,0.6278,0.5689
0.9,0.1627,0.547,0.3798,0.7939,0.8906,0.8422,0.4525,0.5389,0.4957,0.556,0.6512,0.6036
1,0.1968,0.5495,0.3911,0.8074,0.8885,0.8479,0.4916,0.5599,0.5257,0.6008,0.6739,0.6373
1.1,0.2276,0.5487,0.3974,0.8141,0.8836,0.8488,0.5282,0.5745,0.5513,0.6431,0.6953,0.6692
1.2,0.2537,0.545,0.3976,0.8144,0.8762,0.8453,0.5608,0.5819,0.5714,0.6819,0.7147,0.6983
1.3,0.2742,0.5386,0.3913,0.8088,0.8663,0.8376,0.588,0.5817,0.5848,0.716,0.7315,0.7237
1.4,0.2891,0.5301,0.3778,0.7982,0.854,0.8261,0.6088,0.5743,0.5915,0.7446,0.7451,0.7449
1.5,0.2973,0.5197,0.3573,0.7835,0.8394,0.8115,0.6235,0.5608,0.5922,0.7672,0.7553,0.7612
1.6,0.2975,0.5078,0.331,0.7656,0.823,0.7943,0.6331,0.543,0.588,0.7842,0.7618,0.773
1.7,0.2878,0.4953,0.3014,0.7457,0.8056,0.7756,0.6385,0.5231,0.5808,0.7962,0.7652,0.7807
1.8,0.2675,0.4834,0.2718,0.7245,0.7885,0.7565,0.6408,0.5028,0.5718,0.8038,0.7661,0.785
1.9,0.2367,0.4727,0.2455,0.7028,0.7727,0.7377,0.6403,0.4835,0.5619,0.8077,0.7655,0.7866
2,0.1966,0.4628,0.2245,0.6811,0.758,0.7196,0.6374,0.4657,0.5516,0.8081,0.7643,0.7862
2.1,0.1497,0.4524,0.2099,0.6599,0.7439,0.7019,0.6327,0.4498,0.5413,0.8055,0.7626,0.7841
2.2,0.0993,0.4411,0.2018,0.6394,0.7301,0.6848,0.6266,0.4361,0.5314,0.8003,0.7605,0.7804
2.3,0.049,0.4294,0.2003,0.62,0.717,0.6685,0.6199,0.4254,0.5226,0.7927,0.7578,0.7752
2.4,0.0025,0.4187,0.2049,0.6021,0.7052,0.6537,0.6132,0.4181,0.5157,0.7828,0.7547,0.7687
2.5,-0.0372,0.4105,0.2152,0.5865,0.6951,0.6408,0.6071,0.4146,0.5109,0.7706,0.7517,0.7611
2.6,-0.0686,0.406,0.2302,0.5738,0.6869,0.6303,0.602,0.4146,0.5083,0.7564,0.7492,0.7528
2.7,-0.0907,0.4054,0.2489,0.5647,0.6807,0.6227,0.598,0.4176,0.5078,0.7414,0.748,0.7447
2.8,-0.1037,0.4087,0.2708,0.5596,0.6766,0.6181,0.595,0.4234,0.5092,0.7267,0.7487,0.7377
2.9,-0.1092,0.4163,0.2961,0.5586,0.6753,0.6169,0.5928,0.4317,0.5122,0.7133,0.7518,0.7326
3,-0.1093,0.4286,0.3249,0.5618,0.6774,0.6196,0.5915,0.4421,0.5168,0.7023,0.7569,0.7296
3.1,-0.1055,0.4457,0.357,0.5696,0.6834,0.6265,0.5915,0.4545,0.523,0.6942,0.7638,0.729
3.2,-0.099,0.4672,0.3912,0.5822,0.6932,0.6377,0.5933,0.4689,0.5311,0.6896,0.7725,0.731
3.3,-0.0909,0.4925,0.4254,0.5992,0.7068,0.653,0.5973,0.4854,0.5413,0.689,0.7829,0.736
3.4,-0.0818,0.5208,0.4579,0.6194,0.7236,0.6715,0.6035,0.5035,0.5535,0.6927,0.7948,0.7437
3.5,-0.0728,0.5516,0.4872,0.6416,0.7424,0.692,0.6114,0.5226,0.567,0.7006,0.807,0.7538
3.6,-0.0653,0.5844,0.5123,0.6642,0.7616,0.7129,0.6199,0.5416,0.5807,0.7117,0.8184,0.765
3.7,-0.0619,0.6191,0.5322,0.686,0.7797,0.7329,0.6278,0.5596,0.5937,0.7247,0.8278,0.7763
3.8,-0.0652,0.6546,0.5459,0.706,0.7957,0.7508,0.634,0.5757,0.6049,0.7384,0.8346,0.7865
3.9,-0.0754,0.6891,0.553,0.7234,0.8084,0.7659,0.6378,0.5887,0.6133,0.7515,0.8387,0.7951
4,-0.0907,0.7208,0.5527,0.737,0.8164,0.7767,0.6382,0.598,0.6181,0.7635,0.8403,0.8019
4.1,-0.1082,0.7482,0.5459,0.7455,0.8185,0.782,0.6345,0.6032,0.6189,0.7738,0.84,0.8069
4.2,-0.1276,0.7701,0.5344,0.7478,0.8139,0.7809,0.6266,0.6051,0.6159,0.7817,0.8379,0.8098
4.3,-0.1498,0.7864,0.5196,0.7441,0.8032,0.7736,0.6147,0.605,0.6098,0.7863,0.8338,0.81
4.4,-0.1751,0.7973,0.5031,0.735,0.7879,0.7614,0.5995,0.604,0.6017,0.7866,0.8272,0.8069
4.5,-0.2023,0.8032,0.4863,0.7215,0.7696,0.7455,0.5819,0.6031,0.5925,0.7826,0.818,0.8003
4.6,-0.2295,0.8037,0.4709,0.7045,0.7487,0.7266,0.5632,0.6028,0.583,0.7746,0.8068,0.7907
4.7,-0.2549,0.7983,0.4584,0.6848,0.7251,0.705,0.5447,0.6036,0.5741,0.763,0.7946,0.7788
4.8,-0.2771,0.7862,0.4494,0.6636,0.6991,0.6813,0.528,0.6058,0.5669,0.7485,0.7823,0.7654
4.9,-0.2954,0.7676,0.4441,0.6418,0.6717,0.6568,0.5145,0.6093,0.5619,0.7317,0.7706,0.7512
5,-0.3098,0.7431,0.4419,0.6204,0.6444,0.6324,0.5048,0.6138,0.5593,0.7133,0.7598,0.7366
5.1,-0.3209,0.714,0.4419,0.5998,0.6183,0.6091,0.4991,0.6186,0.5589,0.6939,0.7501,0.722
5.2,-0.3292,0.6816,0.443,0.5807,0.5941,0.5874,0.497,0.623,0.56,0.6739,0.7415,0.7077
5.3,-0.3346,0.6472,0.4439,0.5633,0.5724,0.5679,0.4975,0.6264,0.5619,0.6536,0.7335,0.6936
5.4,-0.3361,0.6125,0.4431,0.5483,0.5535,0.5509,0.4995,0.6279,0.5637,0.6327,0.725,0.6789
5.5,-0.3329,0.5786,0.4396,0.5356,0.5377,0.5366,0.5016,0.6271,0.5644,0.611,0.7148,0.6629
5.6,-0.3251,0.5467,0.433,0.5243,0.5248,0.5245,0.5032,0.6237,0.5634,0.5885,0.7023,0.6454
5.7,-0.3133,0.5169,0.4242,0.5135,0.5142,0.5139,0.5039,0.6176,0.5608,0.5656,0.6878,0.6267
5.8,-0.2986,0.4893,0.4141,0.503,0.5052,0.5041,0.5039,0.6087,0.5563,0.5432,0.672,0.6076
5.9,-0.2814,0.4641,0.403,0.4928,0.4974,0.4951,0.5031,0.5966,0.5499,0.5216,0.6555,0.5885
6,-0.2622,0.4414,0.3901,0.4831,0.4906,0.4869,0.501,0.5809,0.541,0.5012,0.6381,0.5696
6.1,-0.2423,0.4213,0.3755,0.4738,0.4846,0.4792,0.4969,0.5612,0.529,0.4819,0.6196,0.5507
6.2,-0.2232,0.4033,0.3603,0.4643,0.479,0.4716,0.4905,0.5379,0.5142,0.4639,0.5999,0.5319
6.3,-0.2068,0.3869,0.3463,0.4541,0.4732,0.4637,0.4822,0.5121,0.4971,0.4474,0.5796,0.5135
6.4,-0.1938,0.3718,0.3342,0.4432,0.4666,0.4549,0.4728,0.4849,0.4788,0.4331,0.5594,0.4962
6.5,-0.1838,0.3578,0.3241,0.4313,0.4587,0.445,0.4628,0.4571,0.4599,0.4215,0.5397,0.4806
6.6,-0.1758,0.3448,0.3157,0.4181,0.4492,0.4337,0.4525,0.4294,0.441,0.4129,0.5209,0.4669
6.7,-0.1695,0.3332,0.3094,0.4041,0.4381,0.4211,0.4424,0.4025,0.4225,0.4081,0.5032,0.4556
6.8,-0.1646,0.3234,0.3064,0.3902,0.4256,0.4079,0.4325,0.3775,0.405,0.4072,0.4874,0.4473
6.9,-0.1615,0.3155,0.3075,0.3778,0.4125,0.3951,0.423,0.3551,0.389,0.4104,0.4742,0.4423
7,-0.1601,0.3101,0.313,0.3681,0.3997,0.3839,0.414,0.3361,0.3751,0.4172,0.4642,0.4407
7.1,-0.16,0.3072,0.3226,0.362,0.3883,0.3751,0.4061,0.321,0.3636,0.4268,0.4577,0.4423
7.2,-0.1604,0.3071,0.3358,0.36,0.3792,0.3696,0.3998,0.3103,0.3551,0.4391,0.4545,0.4468
7.3,-0.1599,0.3096,0.3528,0.3619,0.3729,0.3674,0.3957,0.3047,0.3502,0.4538,0.4545,0.4541
7.4,-0.157,0.3147,0.3737,0.3675,0.3692,0.3684,0.3943,0.3051,0.3497,0.4707,0.4575,0.4641
7.5,-0.1508,0.3224,0.3988,0.3761,0.3677,0.3719,0.3959,0.3116,0.3537,0.4894,0.4635,0.4764
7.6,-0.1416,0.332,0.4276,0.3871,0.368,0.3775,0.4008,0.3241,0.3624,0.5089,0.4719,0.4904
7.7,-0.13,0.3431,0.4585,0.3995,0.3694,0.3845,0.4095,0.3415,0.3755,0.5281,0.4823,0.5052
7.8,-0.1166,0.3552,0.4897,0.4127,0.3717,0.3922,0.4222,0.3628,0.3925,0.5464,0.4939,0.5201
7.9,-0.1011,0.3676,0.52,0.4262,0.374,0.4001,0.4388,0.3868,0.4128,0.5631,0.5062,0.5346
8,-0.0833,0.3795,0.5481,0.4393,0.3754,0.4074,0.4591,0.4126,0.4358,0.5774,0.5187,0.548
8.1,-0.063,0.3897,0.5727,0.4513,0.3751,0.4132,0.4823,0.4391,0.4607,0.5883,0.5308,0.5596
8.2,-0.0407,0.3975,0.5929,0.4614,0.3735,0.4174,0.5078,0.4654,0.4866,0.5951,0.5415,0.5683
8.3,-0.0177,0.4031,0.6082,0.4692,0.3713,0.4203,0.5341,0.4904,0.5122,0.597,0.5498,0.5734
8.4,0.0047,0.4067,0.6185,0.4744,0.3691,0.4218,0.5596,0.5131,0.5364,0.5937,0.5551,0.5744
8.5,0.0255,0.4083,0.6238,0.4766,0.3667,0.4217,0.5827,0.5324,0.5576,0.5849,0.5571,0.571
8.6,0.045,0.4077,0.6239,0.4754,0.3636,0.4195,0.6017,0.5473,0.5745,0.5706,0.5553,0.5629
8.7,0.0631,0.4042,0.6187,0.4701,0.3597,0.4149,0.6155,0.5568,0.5862,0.5511,0.5494,0.5502
8.8,0.0791,0.3978,0.6091,0.4604,0.3552,0.4078,0.6237,0.5604,0.592,0.5271,0.5393,0.5332
8.9,0.0917,0.3889,0.5961,0.4466,0.3507,0.3986,0.6263,0.5584,0.5924,0.4995,0.5258,0.5127
9,0.1,0.3781,0.5807,0.4294,0.3462,0.3878,0.6238,0.5516,0.5877,0.4696,0.5101,0.4899
9.1,0.1043,0.3656,0.5637,0.4102,0.3417,0.376,0.6167,0.5405,0.5786,0.4386,0.4939,0.4662
9.2,0.1052,0.3516,0.5455,0.3901,0.3375,0.3638,0.6056,0.5259,0.5658,0.4078,0.4782,0.443
9.3,0.103,0.3366,0.5259,0.37,0.3339,0.352,0.5911,0.5084,0.5497,0.3784,0.4637,0.421
9.4,0.0977,0.3213,0.5055,0.3504,0.332,0.3412,0.5738,0.489,0.5314,0.3516,0.4509,0.4012
9.5,0.0892,0.3066,0.4848,0.3318,0.3322,0.332,0.5547,0.4691,0.5119,0.3286,0.4403,0.3845
9.6,0.0781,0.2934,0.465,0.3148,0.3351,0.3249,0.5349,0.4498,0.4923,0.3107,0.433,0.3718
9.7,0.0659,0.2826,0.4469,0.2999,0.3408,0.3204,0.5156,0.4322,0.4739,0.2992,0.4297,0.3644
9.8,0.0545,0.2751,0.4308,0.2876,0.3496,0.3186,0.498,0.417,0.4575,0.2948,0.4308,0.3628
9.9,0.0455,0.2718,0.4172,0.2785,0.3618,0.3201,0.4827,0.405,0.4438,0.2977,0.4363,0.367
10,0.0393,0.2734,0.4073,0.2735,0.3779,0.3257,0.47,0.3973,0.4336,0.3074,0.4459,0.3766
10.1,0.0368,0.2803,0.4023,0.2734,0.3974,0.3354,0.4602,0.3949,0.4276,0.323,0.4598,0.3914
10.2,0.0398,0.2926,0.4034,0.2789,0.4197,0.3493,0.4537,0.3985,0.4261,0.3437,0.478,0.4109
10.3,0.0506,0.3102,0.4109,0.29,0.4432,0.3666,0.451,0.4077,0.4294,0.3685,0.5008,0.4347
10.4,0.0711,0.3322,0.4246,0.3059,0.4659,0.3859,0.4525,0.422,0.4372,0.3969,0.5279,0.4624
10.5,0.1015,0.3577,0.4449,0.3259,0.4861,0.406,0.4586,0.4408,0.4497,0.4283,0.5591,0.4937
10.6,0.1409,0.386,0.472,0.3493,0.5024,0.4258,0.4695,0.4635,0.4665,0.4621,0.5939,0.528
10.7,0.1877,0.4163,0.5059,0.3756,0.5144,0.445,0.485,0.4889,0.4869,0.4973,0.6319,0.5646
10.8,0.2399,0.4476,0.5452,0.4042,0.5219,0.463,0.5045,0.5149,0.5097,0.5321,0.6717,0.6019
10.9,0.2947,0.4788,0.588,0.4339,0.5247,0.4793,0.5274,0.5393,0.5333,0.565,0.7115,0.6383
11,0.3485,0.5085,0.6317,0.4637,0.5227,0.4932,0.5527,0.5605,0.5566,0.5948,0.7494,0.6721
11.1,0.3984,0.5359,0.6746,0.4929,0.5161,0.5045,0.5799,0.5781,0.579,0.6209,0.7836,0.7023
11.2,0.4423,0.5603,0.7152,0.5208,0.5056,0.5132,0.6078,0.5921,0.6,0.6435,0.8133,0.7284
11.3,0.4795,0.5816,0.7529,0.5472,0.492,0.5196,0.6354,0.6027,0.6191,0.6627,0.8384,0.7505
11.4,0.5095,0.5994,0.7871,0.5714,0.4763,0.5238,0.6615,0.6102,0.6358,0.6783,0.8591,0.7687
11.5,0.5322,0.6134,0.8176,0.5927,0.4591,0.5259,0.6853,0.6147,0.65,0.6904,0.8757,0.7831
11.6,0.548,0.6237,0.8442,0.6103,0.4413,0.5258,0.7063,0.6165,0.6614,0.699,0.8885,0.7938
11.7,0.5573,0.6304,0.866,0.6236,0.4233,0.5234,0.7239,0.6157,0.6698,0.7038,0.8972,0.8005
11.8,0.5604,0.634,0.8819,0.6319,0.4057,0.5188,0.7374,0.612,0.6747,0.7045,0.9017,0.8031
11.9,0.5574,0.6345,0.8909,0.6351,0.3888,0.512,0.7467,0.6049,0.6758,0.7007,0.9021,0.8014
12,0.548,0.6318,0.8926,0.6334,0.3729,0.5031,0.7516,0.5943,0.673,0.6925,0.8982,0.7954
12.1,0.5319,0.6257,0.8878,0.6263,0.3575,0.4919,0.7521,0.5803,0.6662,0.6797,0.8902,0.785
12.2,0.5093,0.6158,0.8769,0.6131,0.3423,0.4777,0.7477,0.5631,0.6554,0.6622,0.8783,0.7702
12.3,0.4802,0.6013,0.8601,0.5931,0.3266,0.4598,0.7384,0.5427,0.6405,0.6402,0.863,0.7516
12.4,0.4442,0.5816,0.8366,0.5654,0.3097,0.4376,0.7243,0.5189,0.6216,0.6143,0.8452,0.7298
12.5,0.4003,0.5561,0.8062,0.5301,0.2916,0.4108,0.7064,0.4918,0.5991,0.5858,0.8258,0.7058
12.6,0.3478,0.525,0.7689,0.4876,0.2733,0.3804,0.6853,0.462,0.5737,0.5562,0.805,0.6806
12.7,0.2874,0.4897,0.7258,0.4393,0.2562,0.3477,0.6617,0.4304,0.5461,0.527,0.7831,0.6551
12.8,0.2219,0.4522,0.6782,0.3871,0.242,0.3145,0.6364,0.3979,0.5171,0.4998,0.7605,0.6302
12.9,0.1551,0.4152,0.628,0.3336,0.2317,0.2826,0.6096,0.3655,0.4875,0.4757,0.7382,0.6069
13,0.0907,0.3804,0.5766,0.2811,0.2254,0.2533,0.5822,0.3339,0.458,0.4553,0.7171,0.5862
13.1,0.0318,0.3496,0.526,0.2318,0.2228,0.2273,0.5548,0.3042,0.4295,0.4389,0.6977,0.5683
13.2,-0.0192,0.3238,0.4778,0.1873,0.2236,0.2054,0.5274,0.2775,0.4024,0.4258,0.6797,0.5527
13.3,-0.0614,0.3037,0.4336,0.1491,0.2276,0.1883,0.4998,0.2546,0.3772,0.4156,0.6625,0.5391
13.4,-0.0956,0.2896,0.3943,0.1184,0.2353,0.1769,0.4723,0.2361,0.3542,0.4081,0.6463,0.5272
13.5,-0.1229,0.2817,0.3607,0.096,0.2469,0.1714,0.4458,0.222,0.3339,0.4036,0.6319,0.5178
13.6,-0.1444,0.2798,0.3331,0.0819,0.262,0.1719,0.4213,0.2126,0.317,0.4027,0.6206,0.5116
13.7,-0.161,0.2833,0.3114,0.0757,0.2803,0.178,0.3999,0.2079,0.3039,0.4056,0.6129,0.5093
13.8,-0.1733,0.2916,0.2961,0.0769,0.3008,0.1889,0.3824,0.2077,0.2951,0.4126,0.6092,0.5109
13.9,-0.1824,0.3037,0.2869,0.0849,0.3232,0.204,0.3692,0.2121,0.2906,0.4237,0.6091,0.5164
14,-0.1892,0.3189,0.2831,0.0987,0.347,0.2229,0.3603,0.2207,0.2905,0.4386,0.6122,0.5254
14.1,-0.1941,0.3362,0.284,0.1168,0.3718,0.2443,0.3559,0.2331,0.2945,0.4571,0.6179,0.5375
14.2,-0.1965,0.3543,0.2885,0.1371,0.3964,0.2668,0.3557,0.2488,0.3022,0.4785,0.6257,0.5521
14.3,-0.1961,0.3715,0.296,0.1581,0.4199,0.289,0.3597,0.2676,0.3137,0.5019,0.635,0.5684
14.4,-0.1934,0.387,0.3062,0.1786,0.4421,0.3103,0.3676,0.2898,0.3287,0.5266,0.6458,0.5862
14.5,-0.19,0.4007,0.3185,0.1986,0.4633,0.331,0.3793,0.3152,0.3472,0.5521,0.6582,0.6051
14.6,-0.1874,0.4131,0.3319,0.2184,0.4848,0.3516,0.3942,0.3436,0.3689,0.5781,0.6721,0.6251
14.7,-0.1867,0.4247,0.345,0.2376,0.5073,0.3725,0.4111,0.374,0.3926,0.6041,0.687,0.6456
14.8,-0.1891,0.4355,0.356,0.2555,0.531,0.3932,0.4286,0.4045,0.4165,0.6292,0.7014,0.6653
14.9,-0.1955,0.4454,0.3639,0.2713,0.5555,0.4134,0.4453,0.433,0.4392,0.6526,0.7136,0.6831
