Time,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar,Movie Trailer - Penguins of Madagascar
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0713,0.6383,0.672,0.5963,0.5557,0.576,0.6353,0.6542,0.6448,0.8101,0.6655,0.7378
0.1,0.0744,0.6319,0.6665,0.5943,0.5381,0.5662,0.6335,0.6524,0.643,0.82,0.6756,0.7478
0.2,0.0779,0.6239,0.6616,0.5916,0.5188,0.5552,0.6312,0.6508,0.641,0.8292,0.6869,0.7581
0.3,0.0816,0.615,0.6579,0.5886,0.4998,0.5442,0.6285,0.6493,0.6389,0.8377,0.6992,0.7684
0.4,0.0851,0.6061,0.6556,0.586,0.4824,0.5342,0.6256,0.6476,0.6366,0.8447,0.7118,0.7783
0.5,0.0882,0.5974,0.6545,0.5839,0.4672,0.5256,0.6226,0.6456,0.6341,0.8494,0.7241,0.7867
0.6,0.0903,0.5889,0.6543,0.582,0.4546,0.5183,0.6197,0.6436,0.6316,0.851,0.7357,0.7934
0.7,0.0905,0.5807,0.6552,0.5799,0.4446,0.5123,0.6168,0.642,0.6294,0.8494,0.7468,0.7981
0.8,0.0885,0.5734,0.6573,0.5777,0.4379,0.5078,0.6143,0.6413,0.6278,0.8447,0.7573,0.801
0.9,0.0844,0.5678,0.661,0.5759,0.435,0.5055,0.6122,0.6416,0.6269,0.8375,0.7667,0.8021
1,0.0786,0.5646,0.6658,0.5751,0.4367,0.5059,0.6103,0.6423,0.6263,0.8278,0.7747,0.8012
1.1,0.071,0.5638,0.6708,0.5753,0.4427,0.509,0.6084,0.6427,0.6255,0.8156,0.7807,0.7981
1.2,0.0616,0.5649,0.6749,0.5763,0.4524,0.5144,0.6058,0.6419,0.6238,0.8007,0.7845,0.7926
1.3,0.0498,0.5678,0.6773,0.5777,0.4654,0.5215,0.6019,0.6396,0.6208,0.7833,0.7863,0.7848
1.4,0.0348,0.5724,0.6774,0.5797,0.4812,0.5304,0.597,0.6356,0.6163,0.7637,0.786,0.7749
1.5,0.0165,0.5787,0.675,0.5827,0.4994,0.541,0.5913,0.6301,0.6107,0.7427,0.7837,0.7632
1.6,-0.0044,0.5863,0.6699,0.587,0.5194,0.5532,0.5851,0.6232,0.6042,0.721,0.7796,0.7503
1.7,-0.0262,0.5944,0.6617,0.5922,0.5408,0.5665,0.5788,0.6151,0.597,0.6989,0.7735,0.7362
1.8,-0.0478,0.6022,0.6505,0.598,0.5631,0.5805,0.5723,0.6058,0.5891,0.6765,0.7657,0.7211
1.9,-0.0687,0.609,0.6365,0.6034,0.5858,0.5946,0.5655,0.5955,0.5805,0.6537,0.7561,0.7049
2,-0.089,0.6148,0.6201,0.6081,0.6083,0.6082,0.5585,0.584,0.5713,0.6307,0.7447,0.6877
2.1,-0.1086,0.6197,0.6019,0.6126,0.6301,0.6213,0.5515,0.5719,0.5617,0.6079,0.7313,0.6696
2.2,-0.1273,0.624,0.5825,0.6178,0.6506,0.6342,0.545,0.5598,0.5524,0.5862,0.7161,0.6511
2.3,-0.1442,0.6275,0.5626,0.6244,0.6696,0.647,0.5391,0.5482,0.5436,0.566,0.699,0.6325
2.4,-0.1587,0.63,0.5431,0.6327,0.6868,0.6598,0.534,0.5376,0.5358,0.5479,0.6801,0.614
2.5,-0.1709,0.6315,0.5251,0.6421,0.7015,0.6718,0.5297,0.5285,0.5291,0.5325,0.6598,0.5962
2.6,-0.1805,0.632,0.5096,0.6524,0.713,0.6827,0.5266,0.5211,0.5238,0.5203,0.6391,0.5797
2.7,-0.1867,0.632,0.4976,0.6635,0.7211,0.6923,0.5251,0.5159,0.5205,0.512,0.619,0.5655
2.8,-0.1886,0.6317,0.4901,0.6755,0.7262,0.7009,0.5257,0.5134,0.5195,0.5078,0.6004,0.5541
2.9,-0.1863,0.631,0.4872,0.6878,0.7289,0.7084,0.5286,0.5137,0.5212,0.5075,0.5835,0.5455
3,-0.1809,0.6294,0.4887,0.699,0.7294,0.7142,0.5338,0.5169,0.5253,0.5102,0.5685,0.5393
3.1,-0.1741,0.6262,0.4941,0.7077,0.7276,0.7176,0.5411,0.5224,0.5317,0.5151,0.5552,0.5352
3.2,-0.1673,0.6209,0.5026,0.7129,0.7232,0.7181,0.5502,0.5296,0.5399,0.522,0.5439,0.5329
3.3,-0.1613,0.6132,0.5133,0.7142,0.7164,0.7153,0.5603,0.5381,0.5492,0.5304,0.5349,0.5327
3.4,-0.1564,0.6032,0.5257,0.7117,0.7074,0.7096,0.5706,0.547,0.5588,0.54,0.5288,0.5344
3.5,-0.1524,0.5914,0.5391,0.7058,0.6966,0.7012,0.5803,0.5557,0.568,0.5503,0.5253,0.5378
3.6,-0.1489,0.5785,0.5527,0.6972,0.6843,0.6908,0.589,0.5633,0.5762,0.5609,0.524,0.5424
3.7,-0.1456,0.5653,0.5658,0.6868,0.671,0.6789,0.5964,0.5696,0.583,0.5714,0.5245,0.5479
3.8,-0.1423,0.5523,0.578,0.6755,0.6567,0.6661,0.6024,0.575,0.5887,0.5816,0.5268,0.5542
3.9,-0.1389,0.5399,0.5889,0.6637,0.6417,0.6527,0.6068,0.5797,0.5933,0.5917,0.5312,0.5615
4,-0.1353,0.5281,0.5982,0.6512,0.626,0.6386,0.6096,0.5838,0.5967,0.6019,0.5375,0.5697
4.1,-0.1319,0.5167,0.6056,0.6381,0.6097,0.6239,0.6104,0.5871,0.5987,0.6117,0.5455,0.5786
4.2,-0.1292,0.506,0.6109,0.6244,0.5935,0.609,0.6093,0.5892,0.5992,0.6206,0.5544,0.5875
4.3,-0.128,0.4963,0.614,0.6105,0.5778,0.5941,0.6062,0.5899,0.5981,0.6282,0.5635,0.5959
4.4,-0.1283,0.4874,0.6147,0.5964,0.5628,0.5796,0.601,0.5894,0.5952,0.6342,0.5723,0.6033
4.5,-0.1297,0.4793,0.6131,0.5823,0.5483,0.5653,0.5938,0.5876,0.5907,0.6385,0.5803,0.6094
4.6,-0.1319,0.472,0.6093,0.5679,0.5345,0.5512,0.5845,0.5846,0.5846,0.641,0.5873,0.6142
4.7,-0.1349,0.4656,0.6038,0.5539,0.5219,0.5379,0.5737,0.5807,0.5772,0.642,0.5933,0.6177
4.8,-0.1387,0.4605,0.5972,0.541,0.5114,0.5262,0.5625,0.5763,0.5694,0.6419,0.5986,0.6202
4.9,-0.1436,0.4571,0.5902,0.5296,0.5038,0.5167,0.5517,0.5719,0.5618,0.6409,0.6032,0.6221
5,-0.1493,0.4554,0.5835,0.5201,0.4991,0.5096,0.5423,0.5681,0.5552,0.6396,0.6074,0.6235
5.1,-0.1556,0.4556,0.5778,0.5122,0.4975,0.5048,0.5348,0.5654,0.5501,0.6382,0.6114,0.6248
5.2,-0.1625,0.4574,0.5739,0.5057,0.4987,0.5022,0.5299,0.5645,0.5472,0.6371,0.6154,0.6262
5.3,-0.1701,0.4605,0.5722,0.5007,0.5027,0.5017,0.5284,0.5656,0.547,0.6367,0.6199,0.6283
5.4,-0.178,0.4647,0.5729,0.4976,0.509,0.5033,0.5312,0.5692,0.5502,0.6381,0.6252,0.6317
5.5,-0.1854,0.4694,0.576,0.4965,0.5173,0.5069,0.5386,0.5754,0.557,0.6417,0.6317,0.6367
5.6,-0.1913,0.4742,0.5816,0.4975,0.5271,0.5123,0.5509,0.5844,0.5676,0.6479,0.6393,0.6436
5.7,-0.1953,0.479,0.5897,0.5005,0.538,0.5192,0.5676,0.5959,0.5818,0.6563,0.648,0.6521
5.8,-0.1981,0.4836,0.6006,0.5052,0.5498,0.5275,0.5885,0.6098,0.5991,0.6666,0.6574,0.662
5.9,-0.2001,0.4881,0.6138,0.5121,0.5624,0.5372,0.6135,0.6255,0.6195,0.6786,0.6678,0.6732
6,-0.2016,0.4924,0.6289,0.5209,0.5753,0.5481,0.6419,0.6425,0.6422,0.6921,0.6791,0.6856
6.1,-0.2019,0.496,0.6452,0.5314,0.588,0.5597,0.6725,0.6601,0.6663,0.7068,0.6913,0.6991
6.2,-0.2004,0.4986,0.662,0.5427,0.6001,0.5714,0.7037,0.6775,0.6906,0.7218,0.7041,0.713
6.3,-0.1972,0.5002,0.6786,0.5543,0.6112,0.5827,0.7339,0.6938,0.7139,0.7364,0.7171,0.7267
6.4,-0.1928,0.5005,0.6939,0.5655,0.6207,0.5931,0.7618,0.7083,0.7351,0.7501,0.7298,0.7399
6.5,-0.1876,0.4996,0.7068,0.5757,0.6279,0.6018,0.7861,0.7205,0.7533,0.7626,0.742,0.7523
6.6,-0.182,0.4976,0.7166,0.5842,0.6323,0.6083,0.8059,0.7299,0.7679,0.7735,0.7533,0.7634
6.7,-0.1758,0.4951,0.7228,0.5909,0.6344,0.6126,0.8201,0.7363,0.7782,0.7821,0.7631,0.7726
6.8,-0.1686,0.4929,0.7256,0.5961,0.6348,0.6155,0.8284,0.7397,0.784,0.7879,0.7702,0.7791
6.9,-0.1604,0.4914,0.7251,0.6003,0.6348,0.6175,0.8311,0.7401,0.7856,0.7906,0.7742,0.7824
7,-0.151,0.4909,0.7212,0.6038,0.6349,0.6194,0.8287,0.7379,0.7833,0.7904,0.7749,0.7826
7.1,-0.1408,0.4911,0.7139,0.6068,0.635,0.6209,0.8216,0.7332,0.7774,0.7878,0.7726,0.7802
7.2,-0.1304,0.4917,0.7034,0.6085,0.6349,0.6217,0.81,0.7258,0.7679,0.783,0.7679,0.7754
7.3,-0.1205,0.4925,0.6896,0.6084,0.6343,0.6213,0.7939,0.7157,0.7548,0.776,0.7611,0.7686
7.4,-0.1117,0.4932,0.673,0.6059,0.6331,0.6195,0.7737,0.7032,0.7385,0.7668,0.7523,0.7596
7.5,-0.1039,0.4936,0.6542,0.6016,0.6317,0.6166,0.7503,0.6889,0.7196,0.7554,0.7415,0.7485
7.6,-0.0972,0.494,0.634,0.5959,0.6304,0.6132,0.7249,0.6735,0.6992,0.7426,0.7289,0.7358
7.7,-0.0916,0.4948,0.6134,0.5899,0.6294,0.6097,0.6987,0.6579,0.6783,0.729,0.715,0.722
7.8,-0.087,0.4964,0.593,0.584,0.6291,0.6066,0.6726,0.6425,0.6575,0.7156,0.7004,0.708
7.9,-0.0842,0.4991,0.5732,0.5786,0.6298,0.6042,0.6471,0.6276,0.6374,0.7026,0.6856,0.6941
8,-0.0839,0.5027,0.5544,0.5735,0.6314,0.6025,0.6226,0.6134,0.618,0.6904,0.671,0.6807
8.1,-0.0865,0.5072,0.5369,0.5687,0.6339,0.6013,0.5991,0.6004,0.5998,0.6788,0.6568,0.6678
8.2,-0.0915,0.5122,0.5214,0.5638,0.6366,0.6002,0.5771,0.589,0.5831,0.668,0.6432,0.6556
8.3,-0.0988,0.5176,0.5082,0.5585,0.6391,0.5988,0.5566,0.5794,0.568,0.6582,0.6306,0.6444
8.4,-0.1078,0.523,0.4978,0.5529,0.641,0.5969,0.5376,0.5715,0.5545,0.6496,0.6196,0.6346
8.5,-0.1185,0.5285,0.4903,0.5473,0.6424,0.5948,0.5202,0.5652,0.5427,0.6423,0.6106,0.6265
8.6,-0.1309,0.5337,0.486,0.542,0.6432,0.5926,0.5048,0.5604,0.5326,0.637,0.6038,0.6204
8.7,-0.145,0.5385,0.4847,0.5372,0.6431,0.5902,0.4913,0.5572,0.5243,0.634,0.5994,0.6167
8.8,-0.1609,0.5425,0.4867,0.5327,0.6417,0.5872,0.4797,0.5554,0.5176,0.6334,0.5975,0.6154
8.9,-0.1788,0.5456,0.4919,0.5283,0.6389,0.5836,0.4696,0.555,0.5123,0.6349,0.5981,0.6165
9,-0.1984,0.548,0.5001,0.5238,0.6349,0.5793,0.4608,0.5556,0.5082,0.6376,0.6012,0.6194
9.1,-0.2188,0.5497,0.5107,0.5193,0.6297,0.5745,0.4536,0.5567,0.5052,0.6412,0.6067,0.6239
9.2,-0.2384,0.5505,0.5231,0.5151,0.6236,0.5694,0.4482,0.5582,0.5032,0.6453,0.6142,0.6298
9.3,-0.256,0.5501,0.5367,0.5111,0.6165,0.5638,0.4449,0.5597,0.5023,0.6499,0.6236,0.6368
9.4,-0.2709,0.5485,0.5511,0.5073,0.6082,0.5578,0.4437,0.5611,0.5024,0.6548,0.6347,0.6448
9.5,-0.2828,0.5458,0.5657,0.5037,0.5992,0.5514,0.4445,0.5624,0.5034,0.6595,0.6473,0.6534
9.6,-0.2919,0.5424,0.5804,0.5003,0.59,0.5452,0.4477,0.5637,0.5057,0.6638,0.6608,0.6623
9.7,-0.2982,0.5389,0.5947,0.4974,0.5813,0.5393,0.4537,0.5653,0.5095,0.6678,0.6742,0.671
9.8,-0.3018,0.5354,0.6082,0.495,0.5733,0.5342,0.4628,0.5673,0.515,0.6717,0.6867,0.6792
9.9,-0.3025,0.5323,0.6207,0.4934,0.5666,0.53,0.4747,0.5697,0.5222,0.6755,0.6979,0.6867
10,-0.3005,0.5299,0.6321,0.4927,0.5615,0.5271,0.4889,0.5728,0.5308,0.6791,0.7076,0.6934
10.1,-0.2961,0.5284,0.6425,0.4933,0.5587,0.526,0.5054,0.5765,0.541,0.6826,0.716,0.6993
10.2,-0.2897,0.5275,0.6517,0.4953,0.5582,0.5267,0.5242,0.5812,0.5527,0.6863,0.7232,0.7048
10.3,-0.2814,0.527,0.6594,0.4982,0.5596,0.5289,0.5449,0.5866,0.5657,0.6902,0.7296,0.7099
10.4,-0.2719,0.5266,0.6652,0.5016,0.5619,0.5318,0.5663,0.5923,0.5793,0.6941,0.7351,0.7146
10.5,-0.2615,0.5261,0.6688,0.5049,0.5645,0.5347,0.5864,0.598,0.5922,0.6972,0.7398,0.7185
10.6,-0.2506,0.5258,0.6702,0.5078,0.5668,0.5373,0.6037,0.6034,0.6035,0.6989,0.7433,0.7211
10.7,-0.2388,0.5255,0.67,0.5102,0.569,0.5396,0.6173,0.6087,0.613,0.6988,0.7449,0.7218
10.8,-0.2257,0.5252,0.6685,0.5124,0.5707,0.5416,0.6273,0.614,0.6207,0.6971,0.7443,0.7207
10.9,-0.2112,0.5246,0.6662,0.5147,0.5721,0.5434,0.6341,0.6195,0.6268,0.6942,0.7416,0.7179
11,-0.1957,0.524,0.6634,0.5173,0.5733,0.5453,0.6381,0.6249,0.6315,0.6911,0.7375,0.7143
11.1,-0.1802,0.5237,0.6598,0.5201,0.5744,0.5473,0.6392,0.6297,0.6345,0.688,0.7322,0.7101
11.2,-0.1654,0.5235,0.6554,0.5226,0.5753,0.549,0.6373,0.6334,0.6353,0.6846,0.7257,0.7051
11.3,-0.1512,0.5232,0.6499,0.5241,0.5758,0.55,0.6321,0.6355,0.6338,0.6803,0.7176,0.699
11.4,-0.137,0.5225,0.6434,0.524,0.5755,0.5498,0.624,0.6364,0.6302,0.6751,0.7082,0.6916
11.5,-0.1219,0.5213,0.6365,0.5225,0.5742,0.5484,0.6134,0.6365,0.6249,0.669,0.6983,0.6837
11.6,-0.1059,0.5195,0.6295,0.5199,0.5722,0.546,0.6011,0.6361,0.6186,0.6627,0.6888,0.6757
11.7,-0.0893,0.5174,0.623,0.5171,0.5698,0.5435,0.588,0.6357,0.6119,0.6564,0.6804,0.6684
11.8,-0.073,0.5154,0.6173,0.5149,0.5677,0.5413,0.5751,0.636,0.6055,0.6505,0.6732,0.6619
11.9,-0.0572,0.5134,0.6123,0.5132,0.5659,0.5395,0.5632,0.6372,0.6002,0.6453,0.6671,0.6562
12,-0.042,0.5115,0.6084,0.5119,0.5641,0.538,0.5527,0.6396,0.5961,0.6409,0.6617,0.6513
12.1,-0.0271,0.5093,0.6056,0.5105,0.5622,0.5364,0.5436,0.6428,0.5932,0.6376,0.657,0.6473
12.2,-0.0124,0.5071,0.6043,0.5095,0.5601,0.5348,0.5362,0.6467,0.5915,0.6351,0.6531,0.6441
12.3,0.0026,0.5047,0.6043,0.5093,0.558,0.5336,0.531,0.6511,0.591,0.6338,0.6501,0.6419
12.4,0.018,0.5023,0.6054,0.5106,0.556,0.5333,0.528,0.6557,0.5918,0.6337,0.6478,0.6407
12.5,0.0336,0.5003,0.6073,0.5138,0.5545,0.5342,0.5272,0.6604,0.5938,0.6351,0.6459,0.6405
12.6,0.0482,0.4989,0.6098,0.5189,0.5536,0.5362,0.5283,0.665,0.5967,0.6376,0.6441,0.6409
12.7,0.06,0.4989,0.6133,0.5257,0.5535,0.5396,0.5309,0.6692,0.6001,0.6407,0.6422,0.6415
12.8,0.0674,0.5009,0.6177,0.534,0.5543,0.5442,0.535,0.6728,0.6039,0.6438,0.6397,0.6418
12.9,0.07,0.505,0.6227,0.5431,0.556,0.5496,0.5405,0.6756,0.6081,0.6464,0.6364,0.6414
13,0.0681,0.5107,0.6279,0.5524,0.5584,0.5554,0.5472,0.6778,0.6125,0.6484,0.6318,0.6401
13.1,0.0625,0.5176,0.6328,0.5609,0.5612,0.561,0.5543,0.6792,0.6168,0.6499,0.6261,0.638
13.2,0.0534,0.525,0.6369,0.568,0.5643,0.5662,0.5612,0.68,0.6206,0.6505,0.619,0.6348
13.3,0.0412,0.532,0.6397,0.5736,0.5675,0.5706,0.5673,0.6798,0.6235,0.6497,0.6104,0.6301
13.4,0.026,0.538,0.6413,0.5776,0.5706,0.5741,0.5727,0.6783,0.6255,0.6475,0.6004,0.6239
13.5,0.0087,0.5429,0.6418,0.58,0.5734,0.5767,0.5778,0.6756,0.6267,0.6443,0.5889,0.6166
13.6,-0.0098,0.5468,0.6416,0.581,0.5758,0.5784,0.5823,0.6719,0.6271,0.6407,0.5764,0.6086
13.7,-0.029,0.5504,0.6412,0.5806,0.5777,0.5791,0.5863,0.6675,0.6269,0.637,0.5636,0.6003
13.8,-0.0488,0.554,0.6411,0.5794,0.5791,0.5793,0.5897,0.6626,0.6261,0.6333,0.551,0.5921
13.9,-0.0682,0.5577,0.6414,0.578,0.5807,0.5794,0.593,0.6577,0.6254,0.6299,0.5389,0.5844
14,-0.086,0.5616,0.6422,0.5772,0.583,0.5801,0.5972,0.6535,0.6253,0.6271,0.5276,0.5774
14.1,-0.1011,0.566,0.6436,0.5776,0.5866,0.5821,0.6031,0.6503,0.6267,0.6254,0.5174,0.5714
14.2,-0.1131,0.5714,0.6453,0.5792,0.5917,0.5854,0.6104,0.6484,0.6294,0.6249,0.5085,0.5667
14.3,-0.122,0.5786,0.6469,0.5819,0.5983,0.5901,0.6187,0.6476,0.6331,0.6255,0.5013,0.5634
14.4,-0.1282,0.5879,0.6482,0.5851,0.6063,0.5957,0.6271,0.6476,0.6373,0.6271,0.4961,0.5616
14.5,-0.1315,0.5989,0.6486,0.5882,0.6149,0.6015,0.6352,0.6482,0.6417,0.6292,0.4934,0.5613
14.6,-0.1316,0.6109,0.6479,0.5907,0.6236,0.6072,0.6428,0.6494,0.6461,0.6315,0.4929,0.5622
14.7,-0.1279,0.6235,0.6458,0.5924,0.6325,0.6125,0.6497,0.6511,0.6504,0.6335,0.4944,0.5639
14.8,-0.1204,0.6362,0.6423,0.5937,0.6414,0.6175,0.6558,0.6532,0.6545,0.6352,0.4978,0.5665
14.9,-0.1094,0.6491,0.6375,0.5947,0.6502,0.6225,0.6609,0.6555,0.6582,0.6369,0.5033,0.5701
