Time,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC,Plush - Spice Up Your Style 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4262,1.2807,0.505,1.187,1.0653,1.1261,1.0143,0.6121,0.8132,0.6211,0.6967,0.6589
0.1,0.3921,1.2583,0.5297,1.1364,1.071,1.1037,1.0052,0.6114,0.8083,0.6066,0.7026,0.6546
0.2,0.3569,1.2324,0.5562,1.0772,1.0738,1.0755,0.9967,0.6128,0.8048,0.594,0.7108,0.6524
0.3,0.3214,1.2028,0.5836,1.0105,1.0738,1.0421,0.9884,0.6164,0.8024,0.5834,0.7205,0.652
0.4,0.2858,1.1698,0.6107,0.9373,1.0705,1.0039,0.9791,0.6214,0.8003,0.5749,0.7306,0.6527
0.5,0.2505,1.1342,0.6358,0.8596,1.0635,0.9615,0.9675,0.6267,0.7971,0.5681,0.7394,0.6538
0.6,0.2171,1.0976,0.6577,0.7809,1.0527,0.9168,0.9532,0.6311,0.7921,0.5634,0.7456,0.6545
0.7,0.1875,1.0611,0.6751,0.7053,1.0389,0.8721,0.9371,0.6342,0.7856,0.562,0.7488,0.6554
0.8,0.1625,1.025,0.6879,0.6369,1.023,0.8299,0.9205,0.6363,0.7784,0.5657,0.7498,0.6578
0.9,0.1408,0.9889,0.6957,0.5785,1.0062,0.7923,0.9039,0.638,0.7709,0.576,0.7494,0.6627
1,0.1203,0.9531,0.6987,0.5316,0.9893,0.7604,0.8867,0.6391,0.7629,0.5929,0.7485,0.6707
1.1,0.0999,0.9188,0.6971,0.4971,0.9725,0.7348,0.8683,0.6397,0.754,0.6156,0.7473,0.6815
1.2,0.0803,0.8874,0.6914,0.4749,0.9561,0.7155,0.8494,0.6401,0.7448,0.6423,0.7458,0.694
1.3,0.0628,0.8598,0.6815,0.4649,0.9406,0.7028,0.8314,0.6407,0.7361,0.671,0.7437,0.7074
1.4,0.0479,0.8367,0.6671,0.4663,0.9269,0.6966,0.8154,0.6414,0.7284,0.7003,0.741,0.7206
1.5,0.0345,0.8188,0.6476,0.4784,0.9156,0.697,0.8015,0.6418,0.7216,0.7287,0.7383,0.7335
1.6,0.0209,0.8064,0.6226,0.4999,0.9071,0.7035,0.789,0.6412,0.7151,0.7548,0.736,0.7454
1.7,0.0055,0.7991,0.592,0.5288,0.9018,0.7153,0.7771,0.6394,0.7083,0.7769,0.7344,0.7557
1.8,-0.0112,0.7962,0.5563,0.5625,0.8995,0.731,0.766,0.6362,0.7011,0.7941,0.7334,0.7638
1.9,-0.0276,0.797,0.5161,0.5985,0.9002,0.7493,0.7561,0.6318,0.6939,0.8058,0.7329,0.7694
2,-0.0418,0.8008,0.4722,0.6355,0.9029,0.7692,0.7475,0.6257,0.6866,0.8119,0.7324,0.7722
2.1,-0.0527,0.8072,0.4256,0.6724,0.9066,0.7895,0.7397,0.6172,0.6785,0.8126,0.7313,0.772
2.2,-0.0601,0.8159,0.378,0.7082,0.9103,0.8092,0.7324,0.6057,0.6691,0.8082,0.7296,0.7689
2.3,-0.0644,0.8259,0.3311,0.7413,0.913,0.8272,0.7253,0.5912,0.6583,0.7994,0.7272,0.7633
2.4,-0.0667,0.8357,0.2868,0.7698,0.9146,0.8422,0.7185,0.5741,0.6463,0.787,0.7241,0.7556
2.5,-0.0676,0.844,0.2467,0.7923,0.9147,0.8535,0.712,0.5548,0.6334,0.7721,0.7206,0.7463
2.6,-0.0679,0.8503,0.212,0.808,0.9129,0.8604,0.7058,0.5338,0.6198,0.7553,0.7168,0.7361
2.7,-0.0674,0.8552,0.1837,0.8169,0.9091,0.863,0.7,0.5114,0.6057,0.7373,0.7129,0.7251
2.8,-0.0661,0.8592,0.1621,0.8192,0.9033,0.8612,0.6948,0.4881,0.5915,0.7183,0.709,0.7136
2.9,-0.0633,0.8623,0.1479,0.8148,0.8956,0.8552,0.6905,0.4649,0.5777,0.6987,0.7051,0.7019
3,-0.0585,0.8644,0.1409,0.804,0.8859,0.8449,0.6869,0.4429,0.5649,0.6788,0.7017,0.6902
3.1,-0.0508,0.8654,0.1409,0.7879,0.8739,0.8309,0.6832,0.4231,0.5532,0.659,0.699,0.679
3.2,-0.0388,0.8654,0.1476,0.7683,0.8592,0.8137,0.6788,0.4067,0.5428,0.6401,0.6973,0.6687
3.3,-0.0218,0.8645,0.1611,0.7468,0.8417,0.7943,0.6742,0.3949,0.5345,0.6227,0.6968,0.6598
3.4,0.0001,0.8628,0.1816,0.7249,0.8222,0.7735,0.6703,0.3883,0.5293,0.6078,0.6978,0.6528
3.5,0.0259,0.8603,0.209,0.7038,0.8017,0.7528,0.6686,0.387,0.5278,0.5959,0.7005,0.6482
3.6,0.0551,0.857,0.2432,0.6847,0.7814,0.7331,0.6701,0.3909,0.5305,0.5874,0.7052,0.6463
3.7,0.0883,0.8531,0.2838,0.6684,0.7621,0.7153,0.6751,0.3997,0.5374,0.5825,0.7119,0.6472
3.8,0.1268,0.849,0.3299,0.6563,0.7447,0.7005,0.6834,0.4128,0.5481,0.582,0.7205,0.6513
3.9,0.1717,0.8452,0.3805,0.6503,0.7301,0.6902,0.6952,0.4295,0.5623,0.5869,0.7312,0.659
4,0.2227,0.8416,0.4346,0.6519,0.7189,0.6854,0.7109,0.4498,0.5803,0.5984,0.7445,0.6714
4.1,0.2784,0.8376,0.4913,0.6618,0.7114,0.6866,0.7307,0.4737,0.6022,0.617,0.761,0.689
4.2,0.3371,0.8327,0.5491,0.6796,0.7075,0.6935,0.7542,0.5012,0.6277,0.642,0.7809,0.7114
4.3,0.3971,0.827,0.6067,0.7043,0.707,0.7057,0.781,0.5321,0.6566,0.6714,0.8034,0.7374
4.4,0.4583,0.8211,0.6628,0.7348,0.7093,0.7221,0.8111,0.566,0.6885,0.7033,0.8277,0.7655
4.5,0.52,0.8154,0.7166,0.7699,0.7138,0.7419,0.8445,0.6019,0.7232,0.7356,0.853,0.7943
4.6,0.5804,0.8102,0.7673,0.808,0.7205,0.7642,0.8815,0.639,0.7603,0.7669,0.8783,0.8226
4.7,0.6362,0.8057,0.8139,0.8467,0.7297,0.7882,0.9216,0.6761,0.7988,0.7956,0.9026,0.8491
4.8,0.6841,0.8022,0.8555,0.8836,0.7416,0.8126,0.9632,0.7116,0.8374,0.8202,0.9246,0.8724
4.9,0.722,0.7993,0.8912,0.9164,0.7555,0.836,1.0049,0.7446,0.8747,0.8398,0.9434,0.8916
5,0.7492,0.7963,0.9212,0.9437,0.7699,0.8568,1.0452,0.7738,0.9095,0.8543,0.9586,0.9064
5.1,0.767,0.7927,0.9459,0.9649,0.7832,0.874,1.0835,0.7987,0.9411,0.8639,0.9695,0.9167
5.2,0.7776,0.7888,0.9662,0.9804,0.7946,0.8875,1.1196,0.8194,0.9695,0.8693,0.9761,0.9227
5.3,0.7818,0.7852,0.9828,0.9907,0.8047,0.8977,1.1529,0.8368,0.9948,0.8708,0.9781,0.9245
5.4,0.778,0.7826,0.9961,0.996,0.8149,0.9054,1.1827,0.8516,1.0171,0.8691,0.9761,0.9226
5.5,0.7634,0.7813,1.0064,0.9962,0.8259,0.911,1.2082,0.8643,1.0363,0.8651,0.9712,0.9181
5.6,0.7361,0.781,1.0141,0.991,0.8372,0.9141,1.2287,0.8747,1.0517,0.8598,0.9646,0.9122
5.7,0.6961,0.7807,1.0191,0.9804,0.8472,0.9138,1.2435,0.882,1.0627,0.8537,0.957,0.9054
5.8,0.645,0.7799,1.0216,0.9646,0.8547,0.9096,1.2518,0.8855,1.0687,0.8471,0.9488,0.898
5.9,0.5851,0.779,1.0214,0.9443,0.8595,0.9019,1.2531,0.8848,1.0689,0.8399,0.9402,0.89
6,0.5198,0.7786,1.0185,0.9205,0.862,0.8913,1.2465,0.8792,1.0629,0.8325,0.9311,0.8818
6.1,0.4518,0.7788,1.013,0.8943,0.8623,0.8783,1.2307,0.8683,1.0495,0.8248,0.9217,0.8732
6.2,0.3832,0.7788,1.0053,0.8658,0.8594,0.8626,1.2029,0.8519,1.0274,0.8169,0.9118,0.8643
6.3,0.3157,0.777,0.9962,0.8351,0.8517,0.8434,1.16,0.8304,0.9952,0.8087,0.9017,0.8552
6.4,0.2512,0.7725,0.9862,0.8024,0.8385,0.8204,1.0998,0.8048,0.9523,0.8006,0.8915,0.8461
6.5,0.192,0.7648,0.9753,0.7683,0.8205,0.7944,1.0231,0.7761,0.8996,0.7929,0.8812,0.8371
6.6,0.1409,0.7539,0.9635,0.734,0.7995,0.7667,0.9344,0.7451,0.8398,0.7858,0.8708,0.8283
6.7,0.0997,0.7405,0.9506,0.7005,0.7776,0.739,0.841,0.7123,0.7766,0.7787,0.86,0.8194
6.8,0.0692,0.7255,0.9358,0.669,0.7561,0.7126,0.75,0.6776,0.7138,0.7706,0.8489,0.8098
6.9,0.0491,0.7102,0.9186,0.6406,0.7356,0.6881,0.6667,0.6417,0.6542,0.7611,0.8374,0.7993
7,0.0383,0.6957,0.8989,0.6161,0.7162,0.6661,0.5943,0.606,0.6002,0.7506,0.8256,0.7881
7.1,0.0351,0.6831,0.8773,0.5972,0.6981,0.6476,0.5346,0.5724,0.5535,0.7396,0.814,0.7768
7.2,0.0376,0.6736,0.8548,0.5854,0.6821,0.6337,0.488,0.5424,0.5152,0.7291,0.8031,0.7661
7.3,0.0439,0.6679,0.8324,0.5817,0.6688,0.6253,0.4532,0.5166,0.4849,0.7196,0.7933,0.7564
7.4,0.0524,0.6661,0.8106,0.5854,0.6592,0.6223,0.4282,0.4955,0.4619,0.7108,0.7846,0.7477
7.5,0.061,0.6684,0.7902,0.5955,0.6546,0.625,0.4112,0.4791,0.4452,0.7026,0.7767,0.7397
7.6,0.0676,0.6752,0.7716,0.611,0.6557,0.6334,0.4011,0.4673,0.4342,0.695,0.7693,0.7322
7.7,0.0704,0.6873,0.7552,0.6315,0.6625,0.647,0.3976,0.4594,0.4285,0.6882,0.7625,0.7253
7.8,0.0688,0.7041,0.7415,0.6557,0.6731,0.6644,0.3999,0.4544,0.4272,0.6818,0.7565,0.7192
7.9,0.0625,0.7247,0.7302,0.6818,0.6854,0.6836,0.4072,0.4512,0.4292,0.6754,0.7512,0.7133
8,0.0515,0.7482,0.7204,0.708,0.6977,0.7028,0.4186,0.4495,0.4341,0.6682,0.7461,0.7071
8.1,0.0358,0.7738,0.7115,0.7329,0.709,0.7209,0.4336,0.4494,0.4415,0.6599,0.7407,0.7003
8.2,0.0164,0.8008,0.7034,0.7561,0.7191,0.7376,0.4516,0.4508,0.4512,0.6509,0.7348,0.6928
8.3,-0.0052,0.8285,0.6958,0.7777,0.7274,0.7526,0.4721,0.4536,0.4629,0.6414,0.7285,0.685
8.4,-0.0276,0.856,0.6886,0.7982,0.7339,0.7661,0.4941,0.4578,0.476,0.6319,0.722,0.6769
8.5,-0.0495,0.8834,0.6809,0.818,0.7391,0.7786,0.5167,0.4631,0.4899,0.6224,0.7151,0.6688
8.6,-0.07,0.911,0.672,0.8374,0.7441,0.7908,0.5389,0.4698,0.5044,0.613,0.7079,0.6604
8.7,-0.0894,0.9392,0.6622,0.8558,0.7503,0.8031,0.5604,0.478,0.5192,0.6037,0.7003,0.652
8.8,-0.1076,0.9678,0.6516,0.8727,0.7578,0.8152,0.5807,0.4873,0.534,0.5947,0.6926,0.6437
8.9,-0.1242,0.996,0.6405,0.8874,0.7654,0.8264,0.5992,0.4969,0.5481,0.5863,0.6848,0.6355
9,-0.1376,1.0226,0.6295,0.8996,0.7718,0.8357,0.6154,0.5058,0.5606,0.5788,0.6772,0.628
9.1,-0.1464,1.0469,0.6193,0.9094,0.7761,0.8428,0.6293,0.5138,0.5716,0.5728,0.6699,0.6214
9.2,-0.1496,1.0687,0.6105,0.9173,0.779,0.8482,0.6413,0.521,0.5812,0.5689,0.6635,0.6162
9.3,-0.1466,1.0882,0.6034,0.9233,0.7814,0.8524,0.6514,0.5273,0.5893,0.5676,0.6583,0.613
9.4,-0.1372,1.1053,0.5975,0.927,0.7838,0.8554,0.6586,0.5321,0.5954,0.5691,0.6544,0.6117
9.5,-0.122,1.1195,0.5924,0.928,0.7863,0.8572,0.6618,0.535,0.5984,0.573,0.6521,0.6126
9.6,-0.1023,1.1301,0.5878,0.9262,0.7888,0.8575,0.6601,0.5356,0.5979,0.5795,0.6517,0.6156
9.7,-0.0788,1.136,0.5837,0.9219,0.7909,0.8564,0.6541,0.5341,0.5941,0.5884,0.6534,0.6209
9.8,-0.052,1.1364,0.5801,0.9153,0.7922,0.8538,0.6443,0.5309,0.5876,0.6,0.6571,0.6285
9.9,-0.0226,1.131,0.5771,0.9063,0.7921,0.8492,0.6316,0.5263,0.5789,0.6139,0.6622,0.6381
10,0.0093,1.1201,0.5746,0.8948,0.7901,0.8425,0.6169,0.5205,0.5687,0.6295,0.6685,0.649
10.1,0.0429,1.1044,0.5724,0.881,0.7857,0.8334,0.6013,0.5143,0.5578,0.6464,0.6754,0.6609
10.2,0.077,1.0843,0.5708,0.8644,0.7784,0.8214,0.5856,0.5082,0.5469,0.6645,0.6828,0.6736
10.3,0.1104,1.0593,0.5705,0.844,0.7673,0.8057,0.5707,0.5033,0.537,0.684,0.6901,0.6871
10.4,0.1414,1.0289,0.5718,0.8182,0.7521,0.7851,0.5566,0.5002,0.5284,0.7048,0.6968,0.7008
10.5,0.1679,0.9928,0.5745,0.7859,0.7324,0.7592,0.5431,0.4989,0.521,0.7257,0.7024,0.714
10.6,0.1887,0.9516,0.5779,0.7473,0.7088,0.728,0.5301,0.4996,0.5149,0.7451,0.7063,0.7257
10.7,0.2032,0.9062,0.5813,0.7033,0.6818,0.6925,0.5186,0.5021,0.5103,0.7614,0.7078,0.7346
10.8,0.2116,0.8579,0.5839,0.6558,0.652,0.6539,0.5103,0.5064,0.5083,0.7731,0.7063,0.7397
10.9,0.2144,0.8085,0.5855,0.6075,0.6197,0.6136,0.5071,0.5129,0.51,0.7794,0.7011,0.7402
11,0.2119,0.7598,0.5861,0.561,0.5854,0.5732,0.5106,0.522,0.5163,0.7794,0.6923,0.7358
11.1,0.2047,0.7139,0.5856,0.5188,0.55,0.5344,0.5212,0.5339,0.5276,0.773,0.6801,0.7265
11.2,0.1942,0.6726,0.5842,0.4829,0.515,0.4989,0.5383,0.5489,0.5436,0.7603,0.6648,0.7125
11.3,0.1824,0.637,0.5821,0.454,0.4822,0.4681,0.5612,0.5668,0.564,0.7423,0.6465,0.6944
11.4,0.1712,0.6076,0.5789,0.433,0.453,0.443,0.5888,0.5874,0.5881,0.7204,0.6254,0.6729
11.5,0.1618,0.5848,0.5743,0.4201,0.4281,0.4241,0.6203,0.6102,0.6152,0.6963,0.6022,0.6492
11.6,0.1551,0.5688,0.5685,0.4154,0.4076,0.4115,0.655,0.6338,0.6444,0.671,0.5779,0.6245
11.7,0.1507,0.5593,0.5623,0.4181,0.3911,0.4046,0.6915,0.6572,0.6743,0.6453,0.5539,0.5996
11.8,0.1482,0.556,0.5566,0.4276,0.3785,0.4031,0.7281,0.6788,0.7034,0.6199,0.5308,0.5753
11.9,0.1486,0.5585,0.5522,0.4431,0.3696,0.4063,0.7631,0.6976,0.7304,0.5957,0.509,0.5523
12,0.1526,0.5664,0.5492,0.4644,0.3644,0.4144,0.7952,0.7128,0.754,0.5733,0.4889,0.5311
12.1,0.1585,0.5789,0.5477,0.4907,0.363,0.4269,0.8229,0.7237,0.7733,0.5536,0.4709,0.5123
12.2,0.1644,0.5946,0.5473,0.5208,0.3657,0.4433,0.8445,0.7296,0.787,0.537,0.4558,0.4964
12.3,0.1686,0.6122,0.548,0.5536,0.373,0.4633,0.8589,0.7308,0.7948,0.524,0.444,0.484
12.4,0.1707,0.6309,0.5499,0.5884,0.3853,0.4869,0.8664,0.7281,0.7973,0.5147,0.436,0.4754
12.5,0.1704,0.6496,0.5529,0.6247,0.4034,0.514,0.8682,0.723,0.7956,0.5088,0.4315,0.4701
12.6,0.1666,0.6674,0.5562,0.6611,0.4275,0.5443,0.8658,0.7163,0.791,0.5058,0.43,0.4679
12.7,0.1577,0.6825,0.5592,0.6953,0.4576,0.5765,0.86,0.7087,0.7844,0.5053,0.4313,0.4683
12.8,0.1424,0.6933,0.5617,0.7252,0.4925,0.6088,0.8509,0.7008,0.7759,0.5071,0.4356,0.4713
12.9,0.1214,0.6987,0.564,0.7496,0.5302,0.6399,0.8384,0.6933,0.7659,0.5112,0.4431,0.4771
13,0.097,0.6986,0.5665,0.7687,0.5684,0.6685,0.8229,0.6867,0.7548,0.5177,0.4537,0.4857
13.1,0.0712,0.6937,0.5697,0.7827,0.6052,0.6939,0.8048,0.6815,0.7432,0.5266,0.4668,0.4967
13.2,0.0444,0.6855,0.5737,0.7913,0.6395,0.7154,0.7848,0.6781,0.7314,0.5376,0.4812,0.5094
13.3,0.0152,0.675,0.5786,0.794,0.6719,0.7329,0.7633,0.6762,0.7198,0.5501,0.4964,0.5232
13.4,-0.0175,0.663,0.5844,0.7909,0.7027,0.7468,0.7411,0.6754,0.7083,0.5633,0.5122,0.5378
13.5,-0.0532,0.6502,0.5911,0.7824,0.7325,0.7574,0.7185,0.6755,0.697,0.5765,0.5288,0.5527
13.6,-0.0906,0.6369,0.5988,0.7692,0.7608,0.765,0.6962,0.6763,0.6862,0.5891,0.5461,0.5676
13.7,-0.1279,0.6236,0.6073,0.7524,0.7873,0.7698,0.6745,0.6778,0.6762,0.6002,0.5637,0.5819
13.8,-0.164,0.6109,0.6164,0.7331,0.8117,0.7724,0.6544,0.6806,0.6675,0.6092,0.5814,0.5953
13.9,-0.1988,0.5995,0.6264,0.7134,0.8346,0.774,0.6369,0.6852,0.661,0.6161,0.5997,0.6079
14,-0.2318,0.5901,0.6377,0.695,0.8565,0.7758,0.6234,0.6918,0.6576,0.6213,0.6193,0.6203
14.1,-0.2618,0.5831,0.6504,0.6794,0.8778,0.7786,0.6149,0.7007,0.6578,0.6254,0.6407,0.633
14.2,-0.2876,0.5788,0.665,0.6669,0.8989,0.7829,0.6115,0.7121,0.6618,0.6291,0.664,0.6466
14.3,-0.3079,0.5773,0.682,0.6571,0.9199,0.7885,0.613,0.7265,0.6697,0.633,0.6897,0.6614
14.4,-0.3215,0.579,0.7018,0.6499,0.9413,0.7956,0.6187,0.7443,0.6815,0.6375,0.7183,0.6779
14.5,-0.3271,0.584,0.7247,0.6455,0.963,0.8043,0.6284,0.7663,0.6973,0.6429,0.7506,0.6968
14.6,-0.3235,0.5917,0.7505,0.644,0.9845,0.8142,0.6423,0.7923,0.7173,0.6492,0.7871,0.7182
14.7,-0.3102,0.6009,0.7788,0.645,1.0041,0.8246,0.6605,0.8218,0.7412,0.6563,0.8279,0.7421
14.8,-0.2882,0.6102,0.8088,0.6482,1.0203,0.8342,0.6827,0.8537,0.7682,0.6644,0.8732,0.7688
14.9,-0.2597,0.6191,0.8396,0.653,1.0321,0.8426,0.7081,0.8866,0.7974,0.6733,0.9225,0.7979
