Time,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC,Youi - You Shaped Insurance 2023 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0327,0.6266,0.8183,0.8386,0.6634,0.751,0.8508,0.7158,0.7833,0.8278,0.9469,0.8874
0.1,0.029,0.6216,0.7892,0.8154,0.6819,0.7487,0.8357,0.7094,0.7726,0.8283,0.9333,0.8808
0.2,0.0356,0.6131,0.7564,0.7896,0.6942,0.7419,0.8162,0.7008,0.7585,0.824,0.9165,0.8702
0.3,0.0513,0.6013,0.7231,0.7615,0.6998,0.7307,0.7932,0.6911,0.7421,0.8149,0.8973,0.8561
0.4,0.073,0.5874,0.6922,0.7327,0.7002,0.7164,0.7679,0.6816,0.7248,0.8017,0.8768,0.8392
0.5,0.098,0.5727,0.6648,0.7049,0.6972,0.701,0.7412,0.6729,0.7071,0.7852,0.8559,0.8206
0.6,0.1252,0.5583,0.6401,0.6798,0.6924,0.6861,0.7127,0.6648,0.6887,0.7662,0.835,0.8006
0.7,0.1543,0.5446,0.6171,0.6577,0.6869,0.6723,0.6823,0.6561,0.6692,0.7452,0.8138,0.7795
0.8,0.1842,0.5316,0.5947,0.6379,0.681,0.6594,0.6505,0.6461,0.6483,0.7221,0.7922,0.7572
0.9,0.2135,0.5189,0.5726,0.6197,0.675,0.6473,0.6183,0.6344,0.6264,0.6977,0.7702,0.7339
1,0.2411,0.5072,0.551,0.6028,0.6691,0.636,0.5867,0.6211,0.6039,0.6726,0.7481,0.7103
1.1,0.2675,0.4972,0.5298,0.5879,0.6641,0.626,0.5564,0.6064,0.5814,0.6479,0.7263,0.6871
1.2,0.2931,0.4898,0.509,0.5756,0.6601,0.6179,0.5278,0.5909,0.5593,0.6242,0.7054,0.6648
1.3,0.3179,0.4852,0.4889,0.5664,0.6578,0.6121,0.5012,0.575,0.5381,0.6013,0.6855,0.6434
1.4,0.341,0.4832,0.47,0.5609,0.6572,0.6091,0.4767,0.5595,0.5181,0.5789,0.6667,0.6228
1.5,0.3615,0.4836,0.4524,0.5592,0.6583,0.6088,0.4545,0.5448,0.4997,0.5569,0.6489,0.6029
1.6,0.3793,0.4864,0.4361,0.5614,0.6604,0.6109,0.435,0.5314,0.4832,0.5356,0.6326,0.5841
1.7,0.3945,0.492,0.4211,0.5671,0.6633,0.6152,0.4187,0.5198,0.4692,0.5157,0.6184,0.5671
1.8,0.4068,0.5002,0.4078,0.5756,0.6665,0.6211,0.4067,0.5107,0.4587,0.4979,0.607,0.5525
1.9,0.4153,0.5106,0.3974,0.5865,0.6704,0.6284,0.3999,0.505,0.4524,0.4822,0.5986,0.5404
2,0.4194,0.523,0.3912,0.5996,0.676,0.6378,0.3985,0.5031,0.4508,0.4686,0.5933,0.531
2.1,0.4202,0.5379,0.3901,0.6159,0.6841,0.65,0.4019,0.5054,0.4537,0.4578,0.5916,0.5247
2.2,0.4188,0.5556,0.3951,0.6356,0.6953,0.6654,0.4095,0.5119,0.4607,0.4505,0.5939,0.5222
2.3,0.4157,0.5752,0.4069,0.6583,0.7097,0.684,0.4205,0.5221,0.4713,0.4476,0.6003,0.524
2.4,0.4105,0.5953,0.4261,0.683,0.7264,0.7047,0.4343,0.535,0.4847,0.4491,0.6105,0.5298
2.5,0.403,0.6147,0.4525,0.7088,0.7447,0.7268,0.4504,0.5498,0.5001,0.4552,0.6237,0.5395
2.6,0.3941,0.6329,0.4854,0.7352,0.7638,0.7495,0.4688,0.5658,0.5173,0.4665,0.6396,0.553
2.7,0.3862,0.6492,0.5239,0.7615,0.7821,0.7718,0.4895,0.5825,0.536,0.4838,0.6584,0.5711
2.8,0.3817,0.6627,0.5657,0.7869,0.7979,0.7924,0.5125,0.5992,0.5559,0.5078,0.6805,0.5941
2.9,0.382,0.6727,0.6081,0.8103,0.809,0.8096,0.5372,0.6148,0.576,0.5378,0.7058,0.6218
3,0.3864,0.6793,0.6483,0.8306,0.8141,0.8223,0.5628,0.6286,0.5957,0.5727,0.7334,0.6531
3.1,0.3921,0.6826,0.6845,0.8469,0.8127,0.8298,0.5889,0.6406,0.6147,0.6113,0.7621,0.6867
3.2,0.3953,0.6825,0.7157,0.8583,0.8048,0.8315,0.6154,0.6509,0.6331,0.6525,0.791,0.7218
3.3,0.3929,0.6784,0.7417,0.864,0.7898,0.8269,0.6422,0.6598,0.651,0.6956,0.8191,0.7574
3.4,0.3837,0.6696,0.762,0.8632,0.7678,0.8155,0.6686,0.6676,0.6681,0.7397,0.846,0.7929
3.5,0.3677,0.6567,0.7768,0.8556,0.7398,0.7977,0.6934,0.6744,0.6839,0.784,0.8708,0.8274
3.6,0.3456,0.641,0.7864,0.8421,0.7074,0.7747,0.7158,0.6802,0.698,0.8281,0.8929,0.8605
3.7,0.319,0.6241,0.7912,0.8238,0.6725,0.7482,0.7349,0.685,0.71,0.8719,0.9118,0.8919
3.8,0.2911,0.6069,0.7908,0.8017,0.6363,0.719,0.7504,0.6885,0.7194,0.915,0.9277,0.9213
3.9,0.2652,0.5897,0.7847,0.7766,0.5989,0.6877,0.7614,0.6898,0.7256,0.9566,0.9404,0.9485
4,0.2438,0.5721,0.7726,0.7485,0.5604,0.6544,0.7672,0.6878,0.7275,0.9958,0.9497,0.9728
4.1,0.2272,0.5539,0.7548,0.7171,0.5213,0.6192,0.7679,0.6816,0.7247,1.0321,0.9556,0.9939
4.2,0.2141,0.5349,0.7325,0.6824,0.4828,0.5826,0.7644,0.6713,0.7178,1.0661,0.9584,1.0123
4.3,0.2034,0.5151,0.707,0.6444,0.4466,0.5455,0.7579,0.6576,0.7077,1.0984,0.9587,1.0286
4.4,0.1948,0.4947,0.6802,0.6043,0.4145,0.5094,0.7492,0.6419,0.6955,1.1295,0.9573,1.0434
4.5,0.1878,0.4739,0.6536,0.5639,0.388,0.476,0.7389,0.6256,0.6822,1.1585,0.9547,1.0566
4.6,0.1811,0.4536,0.6286,0.5255,0.3678,0.4466,0.7276,0.6103,0.669,1.1845,0.9513,1.0679
4.7,0.1725,0.4344,0.6057,0.4907,0.354,0.4223,0.7163,0.5965,0.6564,1.2063,0.947,1.0767
4.8,0.1611,0.4172,0.585,0.4602,0.3458,0.403,0.7053,0.5842,0.6447,1.2227,0.9415,1.0821
4.9,0.147,0.4024,0.5665,0.434,0.3422,0.3881,0.6947,0.5729,0.6338,1.2323,0.9344,1.0833
5,0.1311,0.3904,0.5502,0.4122,0.3432,0.3777,0.6846,0.5623,0.6234,1.2336,0.9251,1.0794
5.1,0.1136,0.3816,0.5366,0.3954,0.3492,0.3723,0.6745,0.5529,0.6137,1.2255,0.9135,1.0695
5.2,0.0946,0.3765,0.5266,0.3843,0.361,0.3727,0.6641,0.5451,0.6046,1.2072,0.8993,1.0533
5.3,0.0742,0.3755,0.5205,0.3798,0.3784,0.3791,0.6528,0.5389,0.5958,1.1787,0.8831,1.0309
5.4,0.053,0.3788,0.5184,0.3821,0.4008,0.3915,0.6406,0.534,0.5873,1.1407,0.8658,1.0033
5.5,0.0315,0.386,0.5202,0.3908,0.4272,0.409,0.6285,0.5303,0.5794,1.0955,0.8486,0.9721
5.6,0.0101,0.3968,0.5259,0.405,0.4568,0.4309,0.6178,0.528,0.5729,1.0462,0.8327,0.9394
5.7,-0.0116,0.4109,0.5347,0.4241,0.489,0.4565,0.6097,0.5269,0.5683,0.996,0.8188,0.9074
5.8,-0.0335,0.4278,0.5457,0.4474,0.5226,0.485,0.6044,0.5266,0.5655,0.948,0.8078,0.8779
5.9,-0.0546,0.4465,0.5577,0.4741,0.5561,0.5151,0.6016,0.5265,0.5641,0.9039,0.7996,0.8518
6,-0.0738,0.4656,0.5698,0.5027,0.5876,0.5452,0.6003,0.5256,0.563,0.864,0.7945,0.8293
6.1,-0.0904,0.4835,0.5812,0.5312,0.616,0.5736,0.5993,0.5231,0.5612,0.8284,0.7921,0.8102
6.2,-0.105,0.4995,0.5913,0.5577,0.6408,0.5992,0.5977,0.518,0.5578,0.7969,0.7921,0.7945
6.3,-0.1182,0.5132,0.5993,0.5807,0.6621,0.6214,0.5948,0.5101,0.5525,0.7697,0.794,0.7818
6.4,-0.13,0.5242,0.6046,0.5995,0.6802,0.6399,0.5907,0.4993,0.545,0.7471,0.7971,0.7721
6.5,-0.1385,0.5323,0.6067,0.614,0.6949,0.6545,0.5855,0.4863,0.5359,0.7285,0.8009,0.7647
6.6,-0.1415,0.5369,0.6055,0.6237,0.7058,0.6647,0.5791,0.4715,0.5253,0.7132,0.8052,0.7592
6.7,-0.1371,0.537,0.6011,0.6276,0.7123,0.67,0.5707,0.4549,0.5128,0.6998,0.8095,0.7547
6.8,-0.1246,0.5324,0.5938,0.6252,0.714,0.6696,0.5597,0.4363,0.498,0.6875,0.8136,0.7506
6.9,-0.1039,0.5231,0.5838,0.6161,0.7105,0.6633,0.5456,0.4157,0.4806,0.6759,0.8176,0.7467
7,-0.0748,0.51,0.571,0.6008,0.7021,0.6515,0.5287,0.3933,0.461,0.6647,0.8217,0.7432
7.1,-0.0376,0.4937,0.5558,0.5802,0.6891,0.6346,0.51,0.3695,0.4397,0.6541,0.8261,0.7401
7.2,0.006,0.4749,0.5385,0.5544,0.6719,0.6131,0.4898,0.3446,0.4172,0.6443,0.831,0.7376
7.3,0.0529,0.4537,0.5195,0.5233,0.6505,0.5869,0.4683,0.3189,0.3936,0.6353,0.836,0.7357
7.4,0.099,0.4298,0.4994,0.4863,0.6247,0.5555,0.4455,0.2924,0.369,0.6275,0.8404,0.734
7.5,0.1417,0.4034,0.4783,0.4434,0.5945,0.5189,0.4225,0.2661,0.3443,0.6213,0.8434,0.7323
7.6,0.1799,0.3752,0.4569,0.3958,0.5606,0.4782,0.4012,0.2415,0.3213,0.6168,0.8444,0.7306
7.7,0.214,0.3465,0.436,0.3457,0.5245,0.4351,0.3842,0.2207,0.3024,0.6139,0.8432,0.7285
7.8,0.244,0.3189,0.4168,0.2954,0.4879,0.3917,0.3734,0.2054,0.2894,0.6121,0.8397,0.7259
7.9,0.2695,0.2939,0.4003,0.2467,0.4525,0.3496,0.3696,0.1966,0.2831,0.611,0.8334,0.7222
8,0.289,0.2729,0.3873,0.2011,0.4197,0.3104,0.3731,0.1946,0.2838,0.6107,0.8241,0.7174
8.1,0.3015,0.2572,0.3783,0.1603,0.3913,0.2758,0.3851,0.1995,0.2923,0.6118,0.8118,0.7118
8.2,0.3072,0.248,0.3743,0.1261,0.3687,0.2474,0.4064,0.2118,0.3091,0.6148,0.7975,0.7061
8.3,0.3064,0.2465,0.3764,0.1006,0.3527,0.2267,0.437,0.2321,0.3346,0.6198,0.7822,0.701
8.4,0.2995,0.2537,0.3854,0.0857,0.3439,0.2148,0.4754,0.2613,0.3683,0.6263,0.7668,0.6966
8.5,0.2873,0.2699,0.4012,0.083,0.342,0.2125,0.5186,0.2989,0.4088,0.6333,0.7514,0.6924
8.6,0.2713,0.2949,0.4226,0.0927,0.3459,0.2193,0.5631,0.3426,0.4529,0.6397,0.736,0.6879
8.7,0.2537,0.3282,0.4475,0.1148,0.3548,0.2348,0.6063,0.389,0.4976,0.6448,0.7206,0.6827
8.8,0.2368,0.3689,0.4739,0.1489,0.368,0.2584,0.6464,0.4349,0.5407,0.6483,0.7059,0.6771
8.9,0.2224,0.416,0.5007,0.1944,0.3848,0.2896,0.6825,0.4784,0.5804,0.6503,0.6922,0.6712
9,0.2117,0.4673,0.5268,0.25,0.4041,0.327,0.7129,0.5179,0.6154,0.6503,0.6796,0.6649
9.1,0.2051,0.5204,0.5511,0.3133,0.4242,0.3687,0.7361,0.5519,0.644,0.6478,0.6675,0.6577
9.2,0.2026,0.5728,0.5726,0.3804,0.4437,0.412,0.7511,0.5789,0.665,0.6423,0.6555,0.6489
9.3,0.2039,0.6227,0.5905,0.447,0.4621,0.4546,0.7583,0.599,0.6787,0.6337,0.6436,0.6387
9.4,0.2088,0.6689,0.6047,0.5095,0.48,0.4947,0.7588,0.6132,0.686,0.6231,0.6325,0.6278
9.5,0.217,0.7109,0.6154,0.5661,0.4982,0.5321,0.7543,0.6231,0.6887,0.6117,0.6229,0.6173
9.6,0.2285,0.749,0.6227,0.617,0.5178,0.5674,0.7464,0.6303,0.6883,0.6003,0.6149,0.6076
9.7,0.2435,0.7838,0.6266,0.6634,0.5396,0.6015,0.736,0.636,0.686,0.5892,0.6082,0.5987
9.8,0.262,0.8156,0.6274,0.7069,0.5643,0.6356,0.7238,0.6413,0.6826,0.5779,0.6023,0.5901
9.9,0.2831,0.8446,0.6255,0.7481,0.5919,0.67,0.7107,0.6468,0.6788,0.5664,0.5968,0.5816
10,0.3056,0.8704,0.622,0.7866,0.622,0.7043,0.6977,0.6529,0.6753,0.5552,0.5921,0.5737
10.1,0.3282,0.8928,0.6179,0.8218,0.6539,0.7379,0.6855,0.6596,0.6726,0.5448,0.5885,0.5666
10.2,0.3503,0.9122,0.6136,0.8535,0.6873,0.7704,0.6746,0.6669,0.6707,0.5354,0.5859,0.5607
10.3,0.372,0.9288,0.6091,0.8821,0.722,0.802,0.6647,0.6747,0.6697,0.5273,0.5843,0.5558
10.4,0.3939,0.943,0.6047,0.9081,0.7576,0.8328,0.6556,0.6829,0.6693,0.5205,0.5836,0.552
10.5,0.4165,0.9545,0.6005,0.9313,0.7934,0.8624,0.647,0.6916,0.6693,0.5153,0.584,0.5497
10.6,0.4389,0.9627,0.5969,0.9513,0.8281,0.8897,0.639,0.7004,0.6697,0.5123,0.5859,0.5491
10.7,0.4598,0.9673,0.594,0.9672,0.8603,0.9137,0.6317,0.709,0.6703,0.5114,0.5895,0.5505
10.8,0.4781,0.9682,0.5923,0.9788,0.8891,0.9339,0.6252,0.7171,0.6712,0.512,0.5947,0.5534
10.9,0.4936,0.9654,0.5925,0.9863,0.9139,0.9501,0.6194,0.7243,0.6718,0.5136,0.6016,0.5576
11,0.5069,0.9588,0.5956,0.9898,0.9339,0.9619,0.6136,0.7293,0.6715,0.516,0.6105,0.5632
11.1,0.5178,0.9479,0.6029,0.9886,0.948,0.9683,0.6071,0.7311,0.6691,0.5194,0.6223,0.5708
11.2,0.5244,0.9326,0.6151,0.9821,0.9556,0.9688,0.599,0.7282,0.6636,0.5244,0.6377,0.5811
11.3,0.5236,0.9134,0.6324,0.9704,0.9572,0.9638,0.5887,0.7197,0.6542,0.5316,0.657,0.5943
11.4,0.5123,0.8918,0.6539,0.9544,0.9541,0.9542,0.5763,0.7058,0.6411,0.541,0.6797,0.6104
11.5,0.4897,0.869,0.6781,0.9352,0.947,0.9411,0.5624,0.6869,0.6246,0.5525,0.7051,0.6288
11.6,0.4569,0.8454,0.7035,0.9134,0.9353,0.9244,0.5471,0.6636,0.6053,0.5651,0.7322,0.6487
11.7,0.4163,0.8209,0.7282,0.8894,0.9182,0.9038,0.5309,0.6369,0.5839,0.5777,0.7595,0.6686
11.8,0.3696,0.7951,0.7507,0.8637,0.8956,0.8797,0.514,0.608,0.561,0.5892,0.7856,0.6874
11.9,0.3179,0.7681,0.7697,0.8372,0.8689,0.853,0.4964,0.5778,0.5371,0.5994,0.8095,0.7045
12,0.2618,0.7402,0.7845,0.811,0.8397,0.8254,0.4783,0.5472,0.5127,0.6089,0.8314,0.7201
12.1,0.2024,0.7121,0.7948,0.786,0.8095,0.7978,0.4601,0.5175,0.4888,0.6181,0.8516,0.7348
12.2,0.1412,0.6845,0.8013,0.763,0.7792,0.7711,0.4425,0.491,0.4668,0.6276,0.8707,0.7491
12.3,0.0799,0.6579,0.8047,0.7421,0.7496,0.7458,0.4263,0.4698,0.4481,0.6374,0.8889,0.7632
12.4,0.0199,0.6328,0.8057,0.7234,0.7218,0.7226,0.412,0.4542,0.4331,0.6473,0.9061,0.7767
12.5,-0.0378,0.6101,0.8043,0.707,0.6971,0.7021,0.4003,0.4437,0.422,0.6571,0.9221,0.7896
12.6,-0.0922,0.5907,0.7997,0.6934,0.6764,0.6849,0.3915,0.4372,0.4144,0.6665,0.9368,0.8016
12.7,-0.1421,0.5755,0.7908,0.683,0.6604,0.6717,0.3864,0.4342,0.4103,0.6753,0.9499,0.8126
12.8,-0.1863,0.565,0.7769,0.6765,0.649,0.6627,0.3849,0.4344,0.4096,0.6832,0.9609,0.822
12.9,-0.2253,0.5593,0.7575,0.6742,0.6422,0.6582,0.3866,0.4368,0.4117,0.6899,0.969,0.8295
13,-0.2601,0.5584,0.7327,0.6758,0.64,0.6579,0.3907,0.4404,0.4156,0.6958,0.9739,0.8348
13.1,-0.2919,0.5617,0.7027,0.6801,0.6422,0.6612,0.3961,0.4445,0.4203,0.701,0.9754,0.8382
13.2,-0.3218,0.5687,0.6686,0.6854,0.6482,0.6668,0.402,0.4486,0.4253,0.706,0.974,0.84
13.3,-0.3508,0.5788,0.6324,0.6903,0.6574,0.6738,0.4076,0.4532,0.4304,0.7109,0.9704,0.8406
13.4,-0.3787,0.5914,0.5965,0.6941,0.6695,0.6818,0.4123,0.459,0.4357,0.7156,0.965,0.8403
13.5,-0.4052,0.6064,0.5631,0.6975,0.6848,0.6912,0.4158,0.466,0.4409,0.7202,0.9583,0.8393
13.6,-0.4295,0.6236,0.5335,0.701,0.7038,0.7024,0.418,0.4742,0.4461,0.7252,0.9507,0.838
13.7,-0.4509,0.6426,0.5087,0.7052,0.726,0.7156,0.4195,0.4837,0.4516,0.7311,0.9433,0.8372
13.8,-0.4684,0.6628,0.4904,0.7099,0.7506,0.7303,0.4211,0.4944,0.4578,0.7382,0.9373,0.8378
13.9,-0.4819,0.6831,0.4805,0.7151,0.776,0.7456,0.4234,0.5064,0.4649,0.7465,0.9335,0.84
14,-0.4917,0.7029,0.4809,0.7208,0.801,0.7609,0.4264,0.5198,0.4731,0.7557,0.9321,0.8439
14.1,-0.4987,0.7216,0.4927,0.7272,0.8249,0.7761,0.4303,0.5345,0.4824,0.7654,0.9328,0.8491
14.2,-0.5032,0.7389,0.516,0.7349,0.8472,0.791,0.4348,0.5498,0.4923,0.7756,0.9354,0.8555
14.3,-0.5054,0.7545,0.5501,0.7439,0.8674,0.8057,0.4402,0.5652,0.5027,0.7867,0.9398,0.8633
14.4,-0.5053,0.7684,0.5937,0.7544,0.8853,0.8199,0.4467,0.5804,0.5135,0.7994,0.946,0.8727
14.5,-0.5026,0.7809,0.6452,0.7665,0.9006,0.8335,0.4547,0.5956,0.5252,0.8138,0.9537,0.8837
