Time,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC
14.6,-0.2287,0.3393,0.7361,0.306,0.4484,0.3772,0.8202,0.7179,0.769,0.8455,0.5518,0.6986
14.7,-0.2363,0.3368,0.7273,0.3111,0.4323,0.3717,0.8111,0.6964,0.7538,0.8311,0.5437,0.6874
14.8,-0.2389,0.3346,0.7186,0.3183,0.4157,0.367,0.7997,0.6731,0.7364,0.8194,0.5374,0.6784
14.9,-0.2361,0.3326,0.71,0.3275,0.4001,0.3638,0.7863,0.6491,0.7177,0.8111,0.5325,0.6718
15,-0.2286,0.3308,0.7015,0.3389,0.3869,0.3629,0.7712,0.6259,0.6986,0.8063,0.5289,0.6676
15.1,-0.217,0.3293,0.693,0.3525,0.3768,0.3646,0.7548,0.605,0.6799,0.805,0.5264,0.6657
15.2,-0.2017,0.3279,0.685,0.3682,0.3696,0.3689,0.7377,0.5868,0.6623,0.8071,0.5255,0.6663
15.3,-0.1824,0.3264,0.6776,0.3857,0.3649,0.3753,0.7203,0.5713,0.6458,0.8119,0.5261,0.669
15.4,-0.1591,0.3243,0.671,0.4041,0.362,0.3831,0.7029,0.5581,0.6305,0.8184,0.5285,0.6735
15.5,-0.1327,0.3214,0.665,0.4228,0.3613,0.3921,0.6857,0.5477,0.6167,0.8259,0.5328,0.6794
15.6,-0.1052,0.3178,0.6591,0.4416,0.3632,0.4024,0.6686,0.5408,0.6047,0.8342,0.5391,0.6866
15.7,-0.0782,0.3137,0.652,0.4603,0.3682,0.4142,0.651,0.5377,0.5944,0.843,0.5475,0.6952
15.8,-0.0524,0.3093,0.6418,0.4785,0.3761,0.4273,0.6322,0.538,0.5851,0.8518,0.5571,0.7044
15.9,-0.0278,0.3046,0.6265,0.4955,0.386,0.4408,0.6114,0.5409,0.5761,0.8585,0.5664,0.7125
16,-0.0041,0.2997,0.6051,0.5103,0.3971,0.4537,0.5882,0.5462,0.5672,0.8612,0.5734,0.7173
16.1,0.018,0.2947,0.5776,0.5222,0.4087,0.4655,0.5632,0.5542,0.5587,0.8588,0.5766,0.7177
16.2,0.0363,0.2903,0.5449,0.531,0.421,0.476,0.5376,0.5657,0.5517,0.8516,0.5758,0.7137
16.3,0.0482,0.2867,0.5078,0.5368,0.4344,0.4856,0.5132,0.5813,0.5472,0.8408,0.5711,0.7059
16.4,0.0525,0.2841,0.4666,0.5397,0.4491,0.4944,0.4914,0.6007,0.546,0.8271,0.5626,0.6949
16.5,0.049,0.2821,0.4215,0.5393,0.4648,0.502,0.473,0.6228,0.5479,0.8106,0.5499,0.6803
16.6,0.0393,0.2802,0.3732,0.5353,0.4798,0.5075,0.458,0.6458,0.5519,0.7909,0.5322,0.6615
16.7,0.0244,0.2783,0.3239,0.5278,0.4923,0.5101,0.4466,0.6672,0.5569,0.7677,0.5097,0.6387
16.8,0.0051,0.2766,0.2768,0.5173,0.5008,0.509,0.4388,0.6842,0.5615,0.7412,0.4839,0.6126
16.9,-0.0176,0.2752,0.2347,0.5046,0.5043,0.5044,0.4347,0.6949,0.5648,0.7125,0.4569,0.5847
17,-0.0421,0.2746,0.1992,0.4909,0.5027,0.4968,0.4354,0.6989,0.5672,0.6832,0.4304,0.5568
17.1,-0.0667,0.2751,0.1712,0.4767,0.4964,0.4865,0.442,0.6966,0.5693,0.655,0.4055,0.5303
17.2,-0.0899,0.277,0.1508,0.4625,0.4853,0.4739,0.4552,0.6895,0.5723,0.629,0.3834,0.5062
17.3,-0.1104,0.2804,0.1379,0.4483,0.4693,0.4588,0.4742,0.6788,0.5765,0.6057,0.3647,0.4852
17.4,-0.1276,0.2842,0.132,0.4341,0.4479,0.441,0.4969,0.6653,0.5811,0.5852,0.3499,0.4675
17.5,-0.1413,0.2875,0.1321,0.42,0.4217,0.4208,0.5211,0.6493,0.5852,0.5677,0.3387,0.4532
17.6,-0.1515,0.2895,0.1376,0.406,0.3921,0.399,0.5449,0.6315,0.5882,0.554,0.3312,0.4426
17.7,-0.1583,0.2899,0.1481,0.3922,0.3609,0.3766,0.568,0.6131,0.5905,0.5452,0.3276,0.4364
17.8,-0.1612,0.2893,0.1632,0.3789,0.33,0.3544,0.5905,0.5955,0.593,0.5416,0.3281,0.4349
17.9,-0.1599,0.2883,0.1828,0.3661,0.3005,0.3333,0.6124,0.5795,0.5959,0.543,0.3331,0.4381
18,-0.1541,0.287,0.2066,0.3543,0.2731,0.3137,0.633,0.5653,0.5992,0.5479,0.3425,0.4452
18.1,-0.1438,0.2856,0.2343,0.3441,0.2485,0.2963,0.6518,0.5528,0.6023,0.5546,0.3558,0.4552
18.2,-0.13,0.2843,0.2653,0.3359,0.2273,0.2816,0.6684,0.5419,0.6052,0.5618,0.3725,0.4672
18.3,-0.114,0.284,0.2997,0.33,0.2103,0.2701,0.6827,0.5334,0.6081,0.5681,0.3925,0.4803
18.4,-0.097,0.2862,0.3373,0.3267,0.1986,0.2626,0.6953,0.5279,0.6116,0.5729,0.4157,0.4943
18.5,-0.0796,0.2921,0.3775,0.3264,0.1932,0.2598,0.7068,0.5257,0.6163,0.5757,0.4427,0.5092
18.6,-0.0613,0.3026,0.4195,0.3296,0.1943,0.262,0.7176,0.5264,0.622,0.5771,0.4738,0.5255
18.7,-0.0416,0.3175,0.4622,0.3365,0.2021,0.2693,0.7272,0.5292,0.6282,0.5777,0.5089,0.5433
18.8,-0.021,0.3367,0.5047,0.3469,0.2164,0.2817,0.7351,0.5334,0.6343,0.5785,0.5477,0.5631
18.9,-0.0006,0.3598,0.5461,0.3611,0.2371,0.2991,0.7405,0.539,0.6398,0.5803,0.5894,0.5848
19,0.0184,0.386,0.5859,0.3789,0.2637,0.3213,0.7432,0.5458,0.6445,0.5832,0.6327,0.608
19.1,0.0362,0.414,0.6236,0.3998,0.295,0.3474,0.7434,0.5538,0.6486,0.5872,0.6759,0.6316
19.2,0.053,0.4422,0.6585,0.4223,0.3293,0.3758,0.742,0.5629,0.6524,0.5925,0.7166,0.6546
19.3,0.0681,0.469,0.6904,0.4453,0.3649,0.4051,0.7395,0.5728,0.6562,0.5993,0.7528,0.676
19.4,0.0795,0.493,0.7186,0.4682,0.4007,0.4345,0.7366,0.583,0.6598,0.6075,0.7836,0.6955
19.5,0.0848,0.5133,0.7426,0.4905,0.4362,0.4634,0.7332,0.5929,0.663,0.6169,0.8091,0.713
19.6,0.0822,0.5295,0.7619,0.5117,0.4712,0.4915,0.7285,0.6019,0.6652,0.6274,0.8294,0.7284
19.7,0.0721,0.5416,0.7765,0.5311,0.5054,0.5183,0.7221,0.6098,0.6659,0.6385,0.8442,0.7414
19.8,0.0564,0.5497,0.7869,0.5479,0.538,0.543,0.7133,0.6161,0.6647,0.6494,0.853,0.7512
19.9,0.0375,0.5546,0.7938,0.5619,0.568,0.5649,0.7017,0.6205,0.6611,0.6596,0.8557,0.7576
20,0.0175,0.5569,0.7977,0.5732,0.5943,0.5838,0.687,0.6224,0.6547,0.6686,0.8523,0.7605
20.1,-0.0024,0.5572,0.7986,0.5819,0.6167,0.5993,0.6696,0.6216,0.6456,0.6766,0.8433,0.76
20.2,-0.0214,0.5558,0.7961,0.588,0.6354,0.6117,0.6505,0.6184,0.6345,0.684,0.829,0.7565
20.3,-0.0388,0.5529,0.7901,0.5913,0.6509,0.6211,0.6314,0.6139,0.6226,0.6914,0.81,0.7507
20.4,-0.0533,0.549,0.7814,0.5915,0.6634,0.6275,0.6134,0.6091,0.6112,0.6992,0.7876,0.7434
20.5,-0.0639,0.5445,0.7711,0.5888,0.6729,0.6309,0.597,0.6043,0.6006,0.7079,0.7633,0.7356
20.6,-0.0698,0.5401,0.7601,0.5837,0.6793,0.6315,0.5817,0.5993,0.5905,0.7172,0.7382,0.7277
20.7,-0.0707,0.5361,0.7483,0.577,0.6825,0.6297,0.5673,0.5937,0.5805,0.7267,0.713,0.7198
20.8,-0.0675,0.5328,0.7358,0.5693,0.6828,0.626,0.554,0.5874,0.5707,0.7359,0.6878,0.7118
20.9,-0.0612,0.5307,0.7226,0.5612,0.6811,0.6212,0.5427,0.5804,0.5615,0.7446,0.6629,0.7037
21,-0.0529,0.5299,0.7089,0.5534,0.6784,0.6159,0.5344,0.5732,0.5538,0.7526,0.6389,0.6958
21.1,-0.0436,0.5305,0.6957,0.5463,0.6752,0.6108,0.5294,0.5666,0.548,0.7593,0.6171,0.6882
21.2,-0.0337,0.5319,0.6833,0.5403,0.6715,0.6059,0.5273,0.5607,0.544,0.7634,0.598,0.6807
21.3,-0.0236,0.5331,0.6721,0.535,0.6668,0.6009,0.5274,0.5561,0.5417,0.7635,0.5815,0.6725
21.4,-0.0133,0.5332,0.6623,0.5301,0.6608,0.5955,0.5292,0.553,0.5411,0.7587,0.5674,0.663
21.5,-0.0029,0.5322,0.6547,0.5254,0.654,0.5897,0.5332,0.5521,0.5426,0.7491,0.5557,0.6524
21.6,0.0074,0.5308,0.6496,0.5212,0.6481,0.5846,0.5404,0.5544,0.5474,0.7359,0.5471,0.6415
21.7,0.0168,0.5295,0.6469,0.5177,0.6445,0.5811,0.5516,0.561,0.5563,0.7206,0.5425,0.6315
21.8,0.0242,0.5284,0.6462,0.5153,0.6438,0.5795,0.5672,0.5723,0.5697,0.7043,0.5422,0.6232
21.9,0.0296,0.5265,0.6471,0.5137,0.6447,0.5792,0.5866,0.5876,0.5871,0.6878,0.5457,0.6167
22,0.0339,0.5225,0.6493,0.5128,0.6457,0.5792,0.609,0.6062,0.6076,0.6715,0.5519,0.6117
22.1,0.0385,0.5155,0.6529,0.512,0.6457,0.5789,0.6333,0.6272,0.6303,0.6554,0.5594,0.6074
22.2,0.0436,0.5058,0.6575,0.5114,0.6445,0.578,0.6584,0.6504,0.6544,0.6394,0.5667,0.603
22.3,0.0488,0.4936,0.6624,0.5113,0.6425,0.5769,0.6833,0.6755,0.6794,0.6232,0.5729,0.5981
22.4,0.0538,0.4794,0.6674,0.5118,0.6395,0.5756,0.7067,0.7025,0.7046,0.6071,0.5774,0.5922
22.5,0.0594,0.463,0.6718,0.5124,0.6351,0.5738,0.7276,0.7299,0.7287,0.5913,0.5798,0.5855
22.6,0.0665,0.4442,0.6751,0.513,0.6282,0.5706,0.7452,0.7554,0.7503,0.5764,0.5798,0.5781
22.7,0.075,0.4232,0.6768,0.513,0.618,0.5655,0.7585,0.7768,0.7676,0.5627,0.5774,0.57
22.8,0.0828,0.4009,0.6768,0.5118,0.6044,0.5581,0.7666,0.7928,0.7797,0.5505,0.5726,0.5615
22.9,0.0881,0.3784,0.6754,0.5086,0.5878,0.5482,0.7693,0.803,0.7861,0.5396,0.5654,0.5525
23,0.0909,0.3569,0.6731,0.5028,0.5688,0.5358,0.767,0.8073,0.7872,0.53,0.5558,0.5429
23.1,0.0931,0.3375,0.6699,0.4943,0.5478,0.521,0.761,0.8059,0.7834,0.5214,0.5438,0.5326
23.2,0.0975,0.321,0.6654,0.4835,0.5256,0.5045,0.7525,0.799,0.7758,0.5129,0.5294,0.5211
23.3,0.1053,0.3085,0.6589,0.4715,0.5032,0.4873,0.7423,0.7873,0.7648,0.5039,0.5124,0.5082
23.4,0.1172,0.3008,0.65,0.4593,0.482,0.4707,0.7309,0.7715,0.7512,0.4938,0.4933,0.4935
23.5,0.134,0.298,0.6385,0.4483,0.4632,0.4557,0.7185,0.7528,0.7357,0.4821,0.4724,0.4773
23.6,0.1563,0.2996,0.6251,0.4392,0.4473,0.4433,0.7054,0.7324,0.7189,0.4691,0.4507,0.4599
23.7,0.1839,0.305,0.6109,0.4325,0.4345,0.4335,0.6917,0.7108,0.7013,0.455,0.4291,0.442
23.8,0.2146,0.3133,0.5961,0.4281,0.4246,0.4263,0.6775,0.6884,0.6829,0.4402,0.4085,0.4243
23.9,0.245,0.3235,0.5806,0.426,0.4174,0.4217,0.6624,0.6649,0.6636,0.4253,0.3891,0.4072
24,0.2723,0.3347,0.5637,0.4262,0.4127,0.4195,0.6465,0.6401,0.6433,0.4111,0.3712,0.3911
24.1,0.2952,0.3457,0.5447,0.4284,0.41,0.4192,0.6303,0.614,0.6222,0.3981,0.355,0.3766
24.2,0.3131,0.3556,0.5232,0.4317,0.4089,0.4203,0.614,0.5873,0.6007,0.387,0.3405,0.3637
24.3,0.3254,0.3641,0.4984,0.4352,0.4094,0.4223,0.5971,0.5608,0.579,0.3775,0.3273,0.3524
24.4,0.3312,0.371,0.4696,0.4378,0.4113,0.4246,0.5786,0.5351,0.5569,0.3693,0.3151,0.3422
24.5,0.3306,0.3763,0.4364,0.4387,0.4144,0.4266,0.5578,0.5104,0.5341,0.3616,0.3039,0.3328
24.6,0.3243,0.3797,0.3992,0.4378,0.4181,0.428,0.5345,0.4865,0.5105,0.3542,0.294,0.3241
24.7,0.3134,0.3818,0.3592,0.4355,0.4223,0.4289,0.5096,0.4637,0.4867,0.3471,0.2858,0.3164
24.8,0.2986,0.3831,0.3179,0.4329,0.4274,0.4301,0.4842,0.4426,0.4634,0.3412,0.2797,0.3104
24.9,0.2794,0.3849,0.2762,0.4309,0.4343,0.4326,0.4587,0.4236,0.4411,0.3371,0.276,0.3065
25,0.2544,0.3882,0.2349,0.4307,0.4438,0.4373,0.4329,0.4067,0.4198,0.3347,0.2743,0.3045
25.1,0.2229,0.3934,0.1947,0.4327,0.4555,0.4441,0.4066,0.3917,0.3992,0.3335,0.2736,0.3036
25.2,0.1858,0.4003,0.1576,0.4371,0.4676,0.4524,0.3797,0.3787,0.3792,0.3325,0.2732,0.3028
25.3,0.145,0.4083,0.1254,0.4439,0.4786,0.4612,0.3524,0.3677,0.36,0.3312,0.2724,0.3018
25.4,0.1021,0.4169,0.0999,0.453,0.4876,0.4703,0.3251,0.3592,0.3422,0.3298,0.2712,0.3005
25.5,0.0581,0.4263,0.082,0.4649,0.4952,0.48,0.2983,0.3538,0.326,0.3287,0.2702,0.2995
25.6,0.0129,0.4366,0.0723,0.48,0.502,0.491,0.2725,0.3522,0.3123,0.3285,0.2696,0.2991
25.7,-0.033,0.4476,0.0711,0.4986,0.5083,0.5035,0.2485,0.355,0.3017,0.3291,0.2702,0.2996
25.8,-0.0783,0.4585,0.0788,0.5203,0.5138,0.517,0.2271,0.3624,0.2948,0.3302,0.2725,0.3013
25.9,-0.1214,0.4685,0.0948,0.5441,0.5176,0.5308,0.2096,0.374,0.2918,0.3322,0.277,0.3046
26,-0.1609,0.477,0.1182,0.5689,0.5192,0.5441,0.1972,0.3889,0.293,0.3358,0.2841,0.3099
26.1,-0.1963,0.4839,0.1476,0.5936,0.5186,0.5561,0.1907,0.4066,0.2986,0.3414,0.2939,0.3176
26.2,-0.2273,0.4889,0.1815,0.6174,0.5157,0.5665,0.1903,0.4264,0.3084,0.349,0.3058,0.3274
26.3,-0.2539,0.4919,0.2186,0.6399,0.5107,0.5753,0.1963,0.4478,0.322,0.3577,0.3193,0.3385
26.4,-0.2759,0.4933,0.2575,0.6611,0.5041,0.5826,0.208,0.4699,0.3389,0.3666,0.3339,0.3502
26.5,-0.2934,0.4935,0.2972,0.681,0.4966,0.5888,0.2249,0.4918,0.3583,0.3756,0.3497,0.3626
26.6,-0.307,0.4936,0.3368,0.6998,0.4889,0.5944,0.2461,0.5129,0.3795,0.3851,0.3673,0.3762
26.7,-0.3176,0.4938,0.3755,0.7174,0.4813,0.5993,0.2705,0.5329,0.4017,0.3956,0.3871,0.3913
26.8,-0.3265,0.4938,0.4124,0.7326,0.4733,0.603,0.2968,0.5513,0.4241,0.4067,0.4085,0.4076
26.9,-0.3354,0.4927,0.4461,0.744,0.4641,0.6041,0.3233,0.5675,0.4454,0.4181,0.4307,0.4244
27,-0.3456,0.49,0.4759,0.7503,0.4532,0.6018,0.3485,0.5807,0.4646,0.4291,0.4529,0.441
27.1,-0.3585,0.4852,0.501,0.7511,0.4409,0.596,0.3715,0.5908,0.4812,0.4398,0.4747,0.4572
27.2,-0.3747,0.4782,0.5212,0.7463,0.4277,0.587,0.3918,0.5982,0.495,0.45,0.4956,0.4728
27.3,-0.3939,0.4687,0.5365,0.7361,0.414,0.5751,0.4091,0.6033,0.5062,0.4592,0.5151,0.4871
27.4,-0.4143,0.4559,0.5472,0.7198,0.3997,0.5597,0.4233,0.6067,0.515,0.4671,0.5327,0.4999
27.5,-0.4326,0.44,0.554,0.6967,0.3848,0.5408,0.434,0.6086,0.5213,0.4733,0.5486,0.5109
27.6,-0.445,0.422,0.5578,0.667,0.3702,0.5186,0.4412,0.6094,0.5253,0.4775,0.5631,0.5203
27.7,-0.448,0.4036,0.5595,0.6325,0.3567,0.4946,0.4453,0.6099,0.5276,0.4796,0.5773,0.5284
27.8,-0.4394,0.386,0.5604,0.5964,0.3451,0.4707,0.4475,0.6102,0.5289,0.4791,0.5918,0.5355
27.9,-0.419,0.3701,0.5615,0.5614,0.3356,0.4485,0.4496,0.6107,0.5302,0.4753,0.6074,0.5414
28,-0.3878,0.3565,0.5635,0.5292,0.3287,0.429,0.4535,0.6111,0.5323,0.468,0.6239,0.546
28.1,-0.3477,0.3466,0.5667,0.5011,0.3256,0.4133,0.4603,0.6115,0.5359,0.4576,0.6407,0.5491
28.2,-0.3009,0.3423,0.5711,0.4786,0.3279,0.4033,0.4703,0.6122,0.5412,0.4451,0.657,0.5511
28.3,-0.2498,0.3451,0.577,0.4638,0.3371,0.4004,0.4838,0.6136,0.5487,0.4317,0.6729,0.5523
28.4,-0.1964,0.3551,0.5849,0.4579,0.3532,0.4055,0.5018,0.6162,0.559,0.4185,0.6887,0.5536
28.5,-0.1416,0.3705,0.5953,0.4606,0.375,0.4178,0.5257,0.6208,0.5733,0.4068,0.7048,0.5558
28.6,-0.0852,0.3891,0.6077,0.4698,0.4013,0.4356,0.5562,0.6278,0.592,0.398,0.7213,0.5597
28.7,-0.0276,0.4092,0.6209,0.4835,0.4312,0.4574,0.5923,0.6371,0.6147,0.3944,0.7377,0.5661
28.8,0.0306,0.4306,0.6335,0.501,0.4649,0.483,0.6316,0.6485,0.64,0.3974,0.7533,0.5753
28.9,0.0885,0.4542,0.6454,0.5226,0.503,0.5128,0.6717,0.6613,0.6665,0.4076,0.7678,0.5877
29,0.1445,0.4807,0.6565,0.5479,0.5452,0.5465,0.7103,0.6751,0.6927,0.4249,0.7811,0.603
29.1,0.1969,0.5101,0.6664,0.575,0.5898,0.5824,0.7454,0.689,0.7172,0.4481,0.7929,0.6205
29.2,0.2444,0.5414,0.674,0.601,0.6344,0.6177,0.775,0.7015,0.7383,0.4753,0.8028,0.639
29.3,0.2856,0.5731,0.6777,0.6235,0.6761,0.6498,0.7974,0.7107,0.7541,0.5042,0.8099,0.6571
29.4,0.3193,0.6045,0.6762,0.6418,0.7134,0.6776,0.8113,0.7147,0.763,0.5335,0.8135,0.6735
29.5,0.3436,0.6358,0.6693,0.6571,0.746,0.7015,0.8163,0.7127,0.7645,0.5622,0.8129,0.6875
29.6,0.3561,0.6675,0.6577,0.6708,0.7748,0.7228,0.8135,0.7053,0.7594,0.5895,0.8081,0.6988
29.7,0.3547,0.6996,0.6429,0.6839,0.8005,0.7422,0.8049,0.694,0.7494,0.6152,0.7997,0.7074
29.8,0.3381,0.7311,0.6258,0.696,0.8228,0.7594,0.7927,0.6798,0.7362,0.6393,0.7888,0.714
29.9,0.3067,0.76,0.6073,0.7055,0.8407,0.7731,0.7781,0.6634,0.7207,0.6618,0.7765,0.7191
