Time,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC,Fonterra - Open Gates 30 TVC
14.6,-0.1324,0.6863,0.607,0.5273,0.5817,0.5545,0.5883,0.492,0.5402,0.5545,0.504,0.5292
14.7,-0.1499,0.6659,0.6112,0.5275,0.5639,0.5457,0.5845,0.4938,0.5391,0.5339,0.4934,0.5137
14.8,-0.1706,0.6442,0.6146,0.5272,0.5435,0.5353,0.5801,0.4962,0.5381,0.5136,0.4841,0.4988
14.9,-0.1936,0.6219,0.6165,0.5274,0.5221,0.5247,0.576,0.4997,0.5379,0.4949,0.4756,0.4853
15,-0.2192,0.6003,0.617,0.5284,0.5019,0.5151,0.5735,0.5046,0.5391,0.4787,0.4681,0.4734
15.1,-0.2487,0.5806,0.6159,0.5297,0.4838,0.5068,0.5734,0.5114,0.5424,0.4656,0.4618,0.4637
15.2,-0.2826,0.5639,0.6135,0.5311,0.4684,0.4998,0.5759,0.5199,0.5479,0.4558,0.4566,0.4562
15.3,-0.3196,0.5508,0.61,0.5331,0.4564,0.4948,0.5809,0.5298,0.5553,0.4493,0.4525,0.4509
15.4,-0.3566,0.5415,0.606,0.5366,0.4489,0.4927,0.5877,0.5405,0.5641,0.4463,0.4491,0.4477
15.5,-0.3905,0.5356,0.602,0.5418,0.4462,0.494,0.596,0.5515,0.5738,0.447,0.4468,0.4469
15.6,-0.4193,0.5327,0.5985,0.5486,0.4482,0.4984,0.6048,0.5622,0.5835,0.4513,0.4462,0.4487
15.7,-0.4419,0.5324,0.5958,0.5568,0.4546,0.5057,0.6134,0.5721,0.5928,0.4592,0.4475,0.4534
15.8,-0.4581,0.5351,0.5939,0.5665,0.4659,0.5162,0.6211,0.581,0.601,0.4706,0.4509,0.4608
15.9,-0.4675,0.5409,0.5925,0.578,0.4815,0.5298,0.6274,0.5885,0.608,0.4849,0.4562,0.4706
16,-0.4697,0.5495,0.5913,0.5914,0.4999,0.5456,0.6321,0.5945,0.6133,0.5013,0.463,0.4821
16.1,-0.4645,0.5597,0.5899,0.6058,0.5189,0.5623,0.6353,0.5987,0.617,0.519,0.4711,0.495
16.2,-0.4517,0.57,0.5881,0.6204,0.5363,0.5784,0.6366,0.6013,0.6189,0.5375,0.4806,0.509
16.3,-0.4314,0.5788,0.5856,0.6343,0.5511,0.5927,0.6359,0.6022,0.6191,0.5562,0.4913,0.5238
16.4,-0.4043,0.5852,0.5825,0.6469,0.5624,0.6047,0.6331,0.6017,0.6174,0.5744,0.5032,0.5388
16.5,-0.372,0.5888,0.5789,0.6577,0.5701,0.6139,0.6281,0.5999,0.614,0.5914,0.516,0.5537
16.6,-0.3374,0.5897,0.5749,0.6658,0.5737,0.6198,0.6205,0.5966,0.6086,0.6064,0.5297,0.568
16.7,-0.3035,0.5883,0.5705,0.6706,0.5736,0.6221,0.61,0.5912,0.6006,0.6185,0.5437,0.5811
16.8,-0.2726,0.5853,0.5655,0.6715,0.57,0.6208,0.5961,0.5832,0.5897,0.6269,0.5571,0.592
16.9,-0.2453,0.5814,0.5595,0.6684,0.5628,0.6156,0.5784,0.5725,0.5754,0.6315,0.5694,0.6004
17,-0.2211,0.5773,0.5524,0.6616,0.5523,0.6069,0.5567,0.559,0.5578,0.6323,0.5801,0.6062
17.1,-0.1993,0.5732,0.5439,0.6518,0.5387,0.5953,0.5314,0.5428,0.5371,0.6296,0.5888,0.6092
17.2,-0.1797,0.569,0.5337,0.6406,0.523,0.5818,0.5033,0.524,0.5137,0.6236,0.595,0.6093
17.3,-0.1628,0.5645,0.5214,0.6287,0.5059,0.5673,0.4729,0.5027,0.4878,0.6148,0.5983,0.6065
17.4,-0.1494,0.5594,0.507,0.616,0.4877,0.5519,0.4411,0.4791,0.4601,0.6042,0.5989,0.6016
17.5,-0.1399,0.5538,0.4909,0.6027,0.469,0.5359,0.409,0.4542,0.4316,0.5935,0.5971,0.5953
17.6,-0.1337,0.548,0.4739,0.5893,0.4505,0.5199,0.3782,0.4292,0.4037,0.5838,0.5932,0.5885
17.7,-0.1293,0.5424,0.4568,0.5762,0.4327,0.5045,0.3504,0.405,0.3777,0.5758,0.5878,0.5818
17.8,-0.1253,0.537,0.4402,0.5636,0.4161,0.4898,0.3265,0.3824,0.3545,0.5696,0.5814,0.5755
17.9,-0.1209,0.5321,0.4241,0.551,0.4005,0.4757,0.3073,0.3617,0.3345,0.5656,0.5742,0.5699
18,-0.1154,0.5278,0.4086,0.5382,0.3862,0.4622,0.2932,0.3435,0.3183,0.5636,0.5662,0.5649
18.1,-0.1082,0.5246,0.3941,0.5255,0.3742,0.4499,0.2847,0.3285,0.3066,0.5638,0.5577,0.5608
18.2,-0.0993,0.5231,0.3813,0.5138,0.3656,0.4397,0.2822,0.3174,0.2998,0.5664,0.5489,0.5576
18.3,-0.0893,0.5233,0.3703,0.5038,0.3603,0.4321,0.286,0.3102,0.2981,0.5714,0.54,0.5557
18.4,-0.078,0.5244,0.3604,0.495,0.3572,0.4261,0.2954,0.3065,0.301,0.5788,0.5317,0.5553
18.5,-0.0645,0.5256,0.3512,0.4865,0.3549,0.4207,0.3094,0.3055,0.3075,0.5882,0.5243,0.5562
18.6,-0.0479,0.5265,0.3422,0.4783,0.3537,0.416,0.3267,0.3067,0.3167,0.5989,0.5176,0.5583
18.7,-0.0287,0.5274,0.3338,0.4712,0.3547,0.413,0.3464,0.3098,0.3281,0.6108,0.5118,0.5613
18.8,-0.0083,0.5285,0.3264,0.4659,0.3587,0.4123,0.3679,0.3147,0.3413,0.6233,0.5065,0.5649
18.9,0.0123,0.53,0.3199,0.4626,0.3654,0.414,0.391,0.3215,0.3562,0.6359,0.5017,0.5688
19,0.0325,0.5317,0.3139,0.4609,0.3739,0.4174,0.4155,0.33,0.3728,0.6479,0.4969,0.5724
19.1,0.0527,0.5331,0.3079,0.4606,0.3831,0.4218,0.4416,0.3402,0.3909,0.6583,0.491,0.5747
19.2,0.0736,0.5342,0.3012,0.4614,0.392,0.4267,0.4687,0.3514,0.41,0.6663,0.4837,0.575
19.3,0.0956,0.5346,0.2932,0.4635,0.3997,0.4316,0.4958,0.3629,0.4294,0.6709,0.4748,0.5728
19.4,0.1184,0.5339,0.2838,0.467,0.4056,0.4363,0.5216,0.3743,0.448,0.6717,0.4642,0.568
19.5,0.1412,0.5312,0.2734,0.472,0.4097,0.4408,0.5454,0.3852,0.4653,0.6684,0.4518,0.5601
19.6,0.1634,0.5265,0.2625,0.4779,0.4125,0.4452,0.5665,0.396,0.4813,0.6609,0.4376,0.5493
19.7,0.1836,0.5201,0.2519,0.4842,0.4147,0.4494,0.5847,0.407,0.4958,0.6499,0.4219,0.5359
19.8,0.2007,0.5134,0.2423,0.4908,0.4173,0.4541,0.5996,0.4181,0.5088,0.6359,0.4058,0.5208
19.9,0.2136,0.5073,0.2339,0.4985,0.421,0.4597,0.611,0.4287,0.5198,0.6202,0.3903,0.5052
20,0.2213,0.5022,0.2275,0.5074,0.4256,0.4665,0.6182,0.4383,0.5283,0.6035,0.376,0.4898
20.1,0.2238,0.4981,0.2237,0.5178,0.4304,0.4741,0.6213,0.4464,0.5339,0.5866,0.3631,0.4749
20.2,0.2211,0.4952,0.2225,0.5296,0.4351,0.4824,0.6206,0.4532,0.5369,0.5704,0.3518,0.4611
20.3,0.2136,0.494,0.224,0.5434,0.4397,0.4915,0.6169,0.4592,0.5381,0.5556,0.3429,0.4493
20.4,0.2013,0.4944,0.2279,0.5594,0.4447,0.5021,0.6114,0.4651,0.5382,0.5426,0.3367,0.4397
20.5,0.1833,0.4959,0.2343,0.5771,0.4505,0.5138,0.6049,0.4716,0.5382,0.5318,0.3337,0.4327
20.6,0.1584,0.4979,0.2437,0.5953,0.4573,0.5263,0.5983,0.4795,0.5389,0.5236,0.3344,0.429
20.7,0.1264,0.5006,0.2564,0.612,0.4651,0.5385,0.592,0.4891,0.5406,0.5186,0.3395,0.429
20.8,0.0876,0.5043,0.272,0.6256,0.4736,0.5496,0.5863,0.501,0.5437,0.5171,0.3492,0.4332
20.9,0.0431,0.5091,0.2893,0.6355,0.482,0.5587,0.5816,0.5153,0.5484,0.5189,0.3634,0.4411
21,-0.0048,0.5142,0.3067,0.6409,0.4892,0.5651,0.578,0.5316,0.5548,0.523,0.3813,0.4522
21.1,-0.0533,0.5188,0.3231,0.6409,0.4941,0.5675,0.5758,0.5493,0.5625,0.5288,0.4022,0.4655
21.2,-0.0998,0.5224,0.338,0.6347,0.4964,0.5655,0.5744,0.5678,0.5711,0.5361,0.4252,0.4807
21.3,-0.1427,0.525,0.3516,0.6228,0.4966,0.5597,0.5738,0.5866,0.5802,0.5457,0.4502,0.498
21.4,-0.1812,0.5267,0.3641,0.6068,0.4958,0.5513,0.5738,0.6053,0.5896,0.5573,0.4768,0.5171
21.5,-0.2154,0.5273,0.3753,0.5885,0.4943,0.5414,0.5746,0.6234,0.599,0.5705,0.5039,0.5372
21.6,-0.2449,0.5266,0.3849,0.5697,0.4924,0.5311,0.5764,0.6403,0.6083,0.5848,0.5302,0.5575
21.7,-0.2688,0.5245,0.3927,0.5512,0.4896,0.5204,0.5791,0.6557,0.6174,0.5997,0.5546,0.5772
21.8,-0.2862,0.5213,0.3996,0.5335,0.4858,0.5096,0.5831,0.6701,0.6266,0.615,0.5769,0.596
21.9,-0.2976,0.5178,0.4066,0.5173,0.4817,0.4995,0.5887,0.6843,0.6365,0.6304,0.5968,0.6136
22,-0.3048,0.5148,0.415,0.504,0.4787,0.4913,0.596,0.6986,0.6473,0.6455,0.6142,0.6298
22.1,-0.3087,0.5122,0.425,0.4935,0.4768,0.4852,0.6048,0.7129,0.6589,0.6597,0.6284,0.644
22.2,-0.309,0.5093,0.4359,0.4852,0.4754,0.4803,0.6146,0.7262,0.6704,0.6726,0.639,0.6558
22.3,-0.3044,0.5053,0.4466,0.4781,0.4736,0.4758,0.6246,0.7372,0.6809,0.684,0.646,0.665
22.4,-0.2941,0.5,0.4561,0.4715,0.471,0.4712,0.6342,0.7455,0.6898,0.6939,0.6497,0.6718
22.5,-0.2794,0.4937,0.4644,0.4658,0.4681,0.467,0.6428,0.7506,0.6967,0.7026,0.6507,0.6767
22.6,-0.262,0.4868,0.4716,0.4612,0.4658,0.4635,0.6501,0.7525,0.7013,0.7102,0.6497,0.68
22.7,-0.2435,0.4795,0.4781,0.4579,0.4648,0.4613,0.6563,0.7513,0.7038,0.7171,0.6474,0.6822
22.8,-0.2253,0.4723,0.4845,0.4556,0.4648,0.4602,0.6619,0.7476,0.7048,0.7234,0.6444,0.6839
22.9,-0.2087,0.4653,0.4912,0.4539,0.4652,0.4596,0.6673,0.7416,0.7044,0.7292,0.6416,0.6854
23,-0.1945,0.4587,0.4989,0.4526,0.4653,0.4589,0.6727,0.7335,0.7031,0.7345,0.6394,0.687
23.1,-0.1832,0.4527,0.5073,0.452,0.4643,0.4581,0.6778,0.7234,0.7006,0.7392,0.6379,0.6885
23.2,-0.1748,0.4471,0.5158,0.4525,0.4617,0.4571,0.682,0.7113,0.6967,0.743,0.637,0.69
23.3,-0.1687,0.4418,0.5236,0.4543,0.4566,0.4554,0.685,0.6975,0.6912,0.7456,0.6364,0.691
23.4,-0.1645,0.4363,0.53,0.4566,0.4483,0.4524,0.6864,0.682,0.6842,0.7465,0.6357,0.6911
23.5,-0.162,0.4309,0.5347,0.4586,0.437,0.4478,0.6865,0.6654,0.6759,0.7455,0.6346,0.6901
23.6,-0.1606,0.4259,0.5377,0.4602,0.4239,0.4421,0.6854,0.6481,0.6668,0.7428,0.6336,0.6882
23.7,-0.1585,0.422,0.5388,0.4618,0.4104,0.4361,0.6836,0.6305,0.6571,0.7387,0.6326,0.6857
23.8,-0.154,0.4192,0.5381,0.4631,0.3966,0.4299,0.6808,0.6128,0.6468,0.7333,0.6315,0.6824
23.9,-0.1458,0.4175,0.5354,0.4642,0.3823,0.4233,0.6766,0.5948,0.6357,0.7264,0.6303,0.6783
24,-0.1333,0.4171,0.531,0.4653,0.3676,0.4164,0.6705,0.5768,0.6237,0.718,0.6288,0.6734
24.1,-0.1156,0.419,0.5249,0.4666,0.3526,0.4096,0.6621,0.5591,0.6106,0.7082,0.6271,0.6676
24.2,-0.0922,0.4235,0.5172,0.4682,0.3376,0.4029,0.6516,0.5421,0.5968,0.6968,0.6248,0.6608
24.3,-0.0632,0.4306,0.5076,0.4698,0.3231,0.3965,0.6394,0.5263,0.5828,0.6838,0.6214,0.6526
24.4,-0.0288,0.4402,0.4966,0.4712,0.3095,0.3903,0.626,0.5119,0.5689,0.6694,0.617,0.6432
24.5,0.0096,0.4518,0.485,0.4721,0.297,0.3846,0.6119,0.4993,0.5556,0.6543,0.6116,0.6329
24.6,0.0497,0.4651,0.4742,0.4725,0.286,0.3792,0.5976,0.489,0.5433,0.6392,0.6055,0.6223
24.7,0.0889,0.4797,0.4654,0.4722,0.2763,0.3743,0.5839,0.4817,0.5328,0.6247,0.5988,0.6118
24.8,0.1256,0.4949,0.459,0.4706,0.2683,0.3695,0.5717,0.4775,0.5246,0.6107,0.5913,0.601
24.9,0.1583,0.5096,0.4552,0.4672,0.2622,0.3647,0.5613,0.4766,0.5189,0.5968,0.5826,0.5897
25,0.1862,0.5226,0.454,0.4614,0.258,0.3597,0.5527,0.4788,0.5157,0.5827,0.5726,0.5776
25.1,0.2082,0.5328,0.4554,0.453,0.2552,0.3541,0.5455,0.484,0.5148,0.5682,0.5614,0.5648
25.2,0.2231,0.5398,0.4593,0.4423,0.2529,0.3476,0.5395,0.4918,0.5157,0.5535,0.5494,0.5515
25.3,0.2307,0.5434,0.4652,0.4298,0.2508,0.3403,0.5344,0.5014,0.5179,0.5384,0.5364,0.5374
25.4,0.232,0.5436,0.472,0.4165,0.2494,0.333,0.5299,0.5116,0.5208,0.5227,0.5223,0.5225
25.5,0.2292,0.5408,0.4786,0.4031,0.2487,0.3259,0.5256,0.5211,0.5234,0.5067,0.5076,0.5071
25.6,0.2237,0.5355,0.4846,0.3901,0.2484,0.3193,0.5211,0.5291,0.5251,0.4908,0.4927,0.4918
25.7,0.2166,0.5287,0.4894,0.3779,0.2476,0.3127,0.5164,0.5352,0.5258,0.4755,0.4783,0.4769
25.8,0.2079,0.5214,0.493,0.3667,0.2458,0.3063,0.5115,0.5391,0.5253,0.461,0.4644,0.4627
25.9,0.1971,0.514,0.4949,0.3574,0.2433,0.3004,0.5063,0.5406,0.5234,0.4473,0.4508,0.4491
26,0.1839,0.5069,0.495,0.3497,0.2406,0.2951,0.5003,0.5392,0.5197,0.434,0.4373,0.4357
26.1,0.1689,0.5004,0.4931,0.3432,0.2383,0.2907,0.4934,0.5349,0.5141,0.4213,0.4237,0.4225
26.2,0.1527,0.4949,0.4893,0.3375,0.2371,0.2873,0.4853,0.5281,0.5067,0.409,0.4104,0.4097
26.3,0.1361,0.4904,0.4838,0.333,0.2376,0.2853,0.4762,0.5189,0.4975,0.3975,0.3971,0.3973
26.4,0.1202,0.487,0.4763,0.3298,0.2397,0.2848,0.4665,0.5077,0.4871,0.3867,0.3835,0.3851
26.5,0.106,0.4847,0.4668,0.3282,0.2438,0.286,0.4564,0.4945,0.4755,0.3765,0.3695,0.373
26.6,0.0936,0.4835,0.4552,0.3279,0.2504,0.2892,0.446,0.4792,0.4626,0.3669,0.3551,0.361
26.7,0.0826,0.4835,0.4418,0.3286,0.2597,0.2941,0.4351,0.4618,0.4485,0.3582,0.3405,0.3494
26.8,0.0729,0.4848,0.4274,0.3298,0.2719,0.3009,0.424,0.4427,0.4334,0.3506,0.3264,0.3385
26.9,0.0643,0.4879,0.4131,0.3317,0.2871,0.3094,0.413,0.4223,0.4176,0.3449,0.3134,0.3292
27,0.0568,0.4931,0.4,0.3345,0.3052,0.3199,0.4022,0.4011,0.4017,0.3419,0.3025,0.3222
27.1,0.0499,0.5002,0.3886,0.3379,0.3257,0.3318,0.3917,0.3799,0.3858,0.3416,0.2939,0.3177
27.2,0.0422,0.5094,0.3795,0.3414,0.3478,0.3446,0.3813,0.3598,0.3706,0.3433,0.2875,0.3154
27.3,0.033,0.5206,0.3732,0.3449,0.3704,0.3576,0.3714,0.342,0.3567,0.3462,0.2829,0.3145
27.4,0.0237,0.5334,0.3697,0.3481,0.3927,0.3704,0.3622,0.327,0.3446,0.3499,0.2799,0.3149
27.5,0.0168,0.5473,0.3689,0.351,0.4139,0.3825,0.354,0.3148,0.3344,0.3539,0.2785,0.3162
27.6,0.0136,0.5616,0.3702,0.3533,0.4338,0.3936,0.3471,0.3049,0.326,0.3575,0.2787,0.3181
27.7,0.0138,0.575,0.3728,0.3548,0.4522,0.4035,0.3414,0.2968,0.3191,0.3603,0.2804,0.3204
27.8,0.0156,0.5863,0.3765,0.3553,0.4686,0.412,0.3369,0.2904,0.3137,0.3622,0.2838,0.323
27.9,0.0175,0.5946,0.382,0.355,0.4823,0.4187,0.3341,0.2865,0.3103,0.3635,0.2894,0.3264
28,0.0196,0.6002,0.39,0.3543,0.4933,0.4238,0.3334,0.2858,0.3096,0.3644,0.2979,0.3312
28.1,0.0226,0.6036,0.4011,0.3537,0.5022,0.428,0.3347,0.2889,0.3118,0.3651,0.3094,0.3373
28.2,0.0272,0.6055,0.4144,0.3539,0.51,0.432,0.3376,0.2957,0.3167,0.3647,0.323,0.3439
28.3,0.0328,0.6055,0.4289,0.3555,0.5171,0.4363,0.3414,0.3055,0.3234,0.3626,0.3373,0.3499
28.4,0.0385,0.603,0.444,0.3586,0.5232,0.4409,0.3461,0.3179,0.332,0.3581,0.3513,0.3547
28.5,0.0439,0.5982,0.4592,0.3632,0.5281,0.4457,0.3519,0.3323,0.3421,0.3516,0.3649,0.3583
28.6,0.0494,0.5923,0.4747,0.3694,0.5326,0.451,0.3591,0.3476,0.3534,0.3437,0.3777,0.3607
28.7,0.0549,0.5865,0.4904,0.3772,0.5382,0.4577,0.3675,0.3629,0.3652,0.3347,0.3894,0.3621
28.8,0.0592,0.5819,0.5061,0.3866,0.5456,0.4661,0.377,0.3773,0.3771,0.3255,0.4001,0.3628
28.9,0.0605,0.5786,0.5219,0.3969,0.5544,0.4757,0.3869,0.3905,0.3887,0.3169,0.4095,0.3632
29,0.0573,0.5769,0.5379,0.407,0.5636,0.4853,0.3967,0.402,0.3993,0.3099,0.4176,0.3637
29.1,0.0477,0.5774,0.554,0.4163,0.5723,0.4943,0.4059,0.4115,0.4087,0.305,0.4244,0.3647
29.2,0.03,0.5808,0.5698,0.425,0.5814,0.5032,0.4141,0.4185,0.4163,0.3024,0.4296,0.366
29.3,0.0027,0.588,0.5856,0.4336,0.5921,0.5128,0.4214,0.4236,0.4225,0.3024,0.4332,0.3678
29.4,-0.0333,0.5995,0.6024,0.4421,0.6041,0.5231,0.4285,0.4283,0.4284,0.3052,0.4363,0.3707
29.5,-0.0754,0.6146,0.621,0.4507,0.6166,0.5336,0.4361,0.4341,0.4351,0.3115,0.4396,0.3756
29.6,-0.1202,0.6323,0.6419,0.4595,0.6282,0.5439,0.4448,0.4412,0.443,0.3217,0.4439,0.3828
29.7,-0.1652,0.6517,0.6642,0.469,0.6385,0.5538,0.4545,0.4493,0.4519,0.3356,0.4493,0.3925
29.8,-0.2089,0.6718,0.6867,0.4793,0.6475,0.5634,0.465,0.4576,0.4613,0.3528,0.4558,0.4043
29.9,-0.2499,0.6921,0.7084,0.4901,0.6551,0.5726,0.4757,0.466,0.4708,0.3724,0.4635,0.418
